#separator:tab
#html:true
#guid column:1
#tags column:3
"B-N|kF-#aW"	(1) -(r)on; (2) -or	agental suffix (suf)	
pA3[[yqbj8	rod	tube, stem, *pipe (n)	
nrZ[u)D(sO	rogol	saddle (n)	
"hI4c:B#Ss<"	romru	sound of horns (n)	
D}HTi;xI!{	rom	horn, trumpet (n)	
C+,Q7ZN!(0	rond	(vaulted or arched) roof; vaulted chamber or cavern; heavens [as a roof of the world] (n)	
kyv4P`(`mD	ronga-	to hasten (vb)	
ik~9t}(P`]	rong	soon (adv)	
q;3h&ClebK	ron	smoothed by polishing (adj)	
yw48mzF65F	ross (adj)	red-haired, copper-coloured (adj)	
"BrwWfH[_#*"	ross (n, Physical Acts and Materials)	polished metal (n)	
Gneutpy[yP	ross (n, Physical World)	rain; spray, ⚠️spindrift, foam (n)	
I6{RQot6QL	rostaur	rainforest (n)	
CJ;h8O8i3B	rost	rainy (adj)	
cB&D}S_e,i	rothron	polisher (n)	
F~R>~^Cbxw	rov-	to tear (vb)	
x*sKUwsS-P	rovaed	[most] skillful (adj)	
uouJ_@gF+5	roval	winged; [N.] pinion, great wing (of an eagle) (adj n)	
eUm}TjJeEc	ruida-	to pursue, chase (vb)	
dY;}AG,g-R	ruin	red flame; fiery red (n adj)	
Lawkca]<RO	ruist	fireplace, hearth (n)	
Mb`>FKA5+$	rui	hunt, hunting, *chase (n)	
bJ}WGg.C<H	run-	to rub, grind (vb)	
cpWS(NH&5^	runna-	to polish, burnish (vb)	
B+nQuyk>6d	rustui	copper, *of copper, like copper (adj)	
eE)6*6h9y1	ruthra-	to rage (vb)	
Nl7(,)qlax	râd	path, pass, [N.] track (n)	
h/R:!ul;gQ	rían	queen, *(lit.) crowned-lady (n)	
C|)Oe~Bz=m	rídhas	the country, countryside, farmland (n)	
"eohjQ#OQe>"	rídhathren	rustic, rural (adj)	
jjv7z>H]Sz	rínada-	to crown, coronate (vb)	
xNynQ8iY%Z	rîdh	sown field, [N.] acre (n)	
"Ol[{D#U|t6"	rîf	bark (n)	
I|;U_|mxi(	rîn (adj)	crowned (adj)	
iXo$BJDva6	rîn (n)	remembrance (n)	
h1uj{{bAOq	rîs	queen (n)	
o~<[PXns<F	rîth	effort, endeavour (n)	
Nb;MvP5rHM	rî	wreath, garland; [N.] crown (n)	
q]}~197p&$	rôn	liver (n)	
taj,Bm}&-R	rúthui	angry, wrathful (adj)	
C~fg+*hgz8	rûdh	bald (n)	
A.>o<uy.a9	rûn (adj)	polished, burnished, smoothed by polishing (adj)	
JX/x(C^of>	rûn (n)	east (n)	
wmOD/g&}GD	rûth	wrath, anger (n)	
A4}2%.ZSt=	rû	loud sound, trumpet-sound (n)	
A/<`zBBM;|	rŷn	chaser, hound of chase (n)	
A&=BKtqXLS	sa (prep adv)	beside, alongside, next (to) (prep adv)	
>>Ak)Ex:/	sab-	to dig (vb)	
GTxIqXBgUy	sabar	delving (n)	
BMg[mz:E*?	sador	steadfast, trusty, loyal (adj)	
"oMUY]tDh`#"	sad	place, spot (n)	
l{+Iv_HfRc	saeb (adj)	hungry (adj)	
mVff0*Z6}M	saeb (n)	boot (n)	
h,^0R_}{f@	saeda-	to teach, *train, (lit.) make wise (vb)	
"p@2jp-g#Js"	saegon	famine, (great) hunger (n)	
"Q=jDe*#?p1"	saeg	hunger (n)	
"G#c>raE=(f"	saelas	wisdom (n)	
cIfX:pm8<A	saelor	advisor (n)	
hcrx5Um.+M	sael	wise (adj)	
J,sLu5@Ha;	saera-	to urinate (vb)	
Dy9oA6C<2L	saerlin	urine (n)	
"e#zK!8IbEi"	saetha-	to cause hunger (vb)	
MH/^z|:+-j	said	private, separate, not common, excluded (adj)	
"etwD#$6i,{"	sain	new (adj)	
LLuS0vb3;2	sai	those (pron)	
o%[k(deDQM	salcha-	to scythe or mow (vb)	
Bs(qPy244*	salch	green cut grass, ensilage (n)	
G2:$*j58$(	salph	broth (n)	
opr9|N_5_F	samp	spade, shovel (n)	
"p|:5.hr(#q"	sam	chamber, [G.] room (n)	
e0je[!ft4>	sant	garden, field, yard (n)	
"z3w</E#F3#"	sarch	grave (n)	
p{+15Es?uI	sardh	table (n)	
"qOP#l^s5(X"	sarneg	pebble (n)	
jSTyanUal:	sarn	(small) stone, pebble; stony (place); ⚠️[N.] stone as a material (n adj)	
viNMniy7o	sarth	note, jot, scribbling (n)	
q;A{Ky*(t:	sasta-	to put, place (vb)	
"dedMb#ujG0"	sath	part (n)	
r?33^=6}Dv	saur	bad (of food), putrid (adj)	
F*xIt<[k:u	sav- (Mind and Thought)	to believe in, accept as fact (vb)	
gu2SE~8yOK	sav- (Possession and Trade)	to have (vb)	
BIU/uep+~2	saw	filth, putrescence (n)	
FDU[cVkvw~	sedh-	to rest (vb)	
fvD.,ZI7x]	seidia-	to set aside, appropriate to a special purpose or owner (vb)	
e$5}rv0I_X	sein	usual (adj)	
"o>5j>J`W+#"	sell	daughter; [N.] †girl, maid (n)	
t?qR[5w.th	semp	flute, pipe, whistle (n)	
g3R7ig4=V!	senc	mineral-like, flinty; flint (adj n)	
L~^}004P7=	send	?rest (n)	
sgUVk>0`H-	sennas	guesthouse (n)	
ES+[Xe||G@	sennui	?rather, instead (adv)	
gMHjWzSNh{	seregon	stonecrop, plant with red flowers, (lit.) blood of stone (n)	
bwUkK0FMF3	serni	shingle, pebble bank (n)	
q|q7z-XOHY	sesta-	to set, (lit.) to make rest (on) (vb)	
FW{PN21^,[	sibra-	to whimper, ⚠️weep (vb)	
g5A{//@,Fe	siel	granddaughter (n)	
n7_&I]sRHJ	sigil	necklace (n)	
u!Lwn_]gS$	silef	(white) crystal; ⚠️[N.] silver, shining white (n adj)	
tg$~5j~47n	silevren	like silef (crystal) (adj)	
"y}0]_gL?,#"	silivren	(white) glittering, crystalline (adj)	
"PD#XlK3wkN"	sinc	*mineral, ⚠️[G.] metal (n)	
o}&5`Bi,;s	singil	mirror (n)	
PU}M[XktY;	singren	salt, *salty (adj)	
jpcw_f&HU.	sing	salt (n)	
"jt#Bo>B6;H"	sinnen	known (adj)	
A;DJ:2Zg6r	sin	these (pron)	
nRJEdtI>=_	sion	grandson (n)	
I^>`LiG;X{	siriol	flowing, fluent, liquid, melliflous (adj)	
EnV]/I8GdY	sirith	flowing (n)	
"iC:,Mk#0L{"	sith	affair, matter (n)	
JXM4yUqd9Y	soethor	drinking-horn (n)	
"p0Ew&y;9#7"	solph	soup (n)	
k~}r0}uen	somma-	to dive, duck (vb)	
nVaJIss8y|	sommor	duck, waterfowl (n)	
C/=(77hblR	sov-	to wash clean, bathe (vb)	
KCb<Kt4&Xz	suila-	to greet (vb)	
NTo.&;Kbcg	suilad	greeting (n)	
F5tNtmuQ6d	suilanna-	to greet, *give greeting (vb)	
Iypp<%zmP0	suith	draught, [G.] a drink (n)	
vL_l~0uYCC	sui	*as (prep)	
"r0#%U*[l&t"	sunt	nostrils (n)	
lB>$d>5c)0	sâdh	sward, turf (n)	
"xeH/#<mTA]"	sídheb	peaceful, full of peace (adj)	
vW:m/f_2]E	síla-	*to shine (vb)	
g+?mzm8unZ	sír	*today, this day (n)	
CL_P,h?[Y(	sí	here, in this place (of speaker) (adv)	
kTl?RWZ7&`	sîr	river, stream (n)	
e{;s[gDno[	sî	yet, hither(to), hereto (adv)	
z0L/R8oJw6	súda-	to blow (of wind) (vb)	
Nj*ZfDrw)a	sûf	bosom (n)	
cO/m9;-!9g	sûl	[strong] wind, *gust (n)	
gxI}i~>t6s	sûn	bath (n)	
INa}SX|-8g	sû	noise of wind (n)	
f[FgxOAwxI	tab-	to stop, block, close (vb)	
O]ASxO<dQL	tachol	brooch, clasp, [N.] pin (n)	
cX,<5gOEoK	tad-dal	two-legged, *biped (adj)	
r@_)DNWN3(	tadhos	hawthorn (n)	
wtV(lr~X&*	taeg	boundary, limit, boundary line (n)	
np{8UGuW0X	taer	lofty, *high (adj)	
K:(,XO,x4O	tag-	to fix, make firm, *fasten, ⚠️construct (vb)	
v!]HRDXZSH	tagol	post, mark (n)	
"K#={z{:XR_"	tagron	smith (n)	
zZDg?.Fcm.	taid	supporting, second in command (adj)	
bb^Gw6L.]]	taig	marking (a boundary) (adj)	
"NPQB#eW<O1"	tain	letter, epistle, missive (n)	
Oz^_{t=zU;	tair	vertical, (lit.) standing (adj)	
x[H|~[m=l/	taith	(1) note, jot, scribbling, (lit.) a little writing; (2) sign, symbol; mark, [N.] stroke; ⚠️[G.] letter (n)	
"mns##ySx*/"	talagan	harper (n)	
lsBa*{8ega	talan	platform, flat space, flet [Middle English = ‘floor’] (n)	
EP,.=)BnPz	talath	flat lands, plain, vale (n)	
pz9g{`e{,j	talf	wang, flat field, topographical flat area (n)	
urAMgv:y<S	tallam	conlang (n)	
QzmK6oq/]]	tallen	playful, fun(ny) (adj)	
p2=4o*4xWE	tallif	ankle (n)	
E>blW[.O=;	talphressui	mischievous (adj)	
oW(vB(^}wt	talphres	mischief, (lit.) play(ful)-trouble/disturbance (n)	
h%z/[rqZwb	talraph	stirrup (n)	
F8}{WkMCD*	taltha-	to slip (down), collapse, fall in ruin (vb)	
e-02X9|T*t	talu	flat (adj)	
Cuc@Xlnm`R	talvad	footpath (n)	
KP5mTeN::a	tammos	cauldron (n)	
r{qWG{Zj]g	tana-	to show, indicate, point out (vb)	
wBLyNm&}!H	taphaen	twenty (cardinal)	
F`daJXrhjv	tar-	to stand (vb)	
tZ2sE4lj;,	tarchas	roughness, ruggedness, rudeness (n)	
tU7P2P-W_U	tarch	stiff, rough (or tough) (adj)	
eZu]p]>-(5	tarlang	proud, [N.] obstinate, [S.] (lit.) stiff-necked; stiff neck (a nickname applied to men of haughty carriage or mood); ⚠️the stiff/tough passage (adj n)	
tW[nPJw$qk	tarph	dry [esp. of foods], [G.] stale (adj)	
kkcj,bjj5,	taru	cross, *crucifix; ⚠️crossing (n)	
onBy)DKdgQ	tasta-	to (put to the) test, *verify (vb)	
z>iTT}7wrQ	tastaith	test (n)	
I=r>`>;~s[	tast	border, fringe (n)	
w}k/]TSQ)l	tathar	willow (tree) (n)	
j|(7JEKYr4	tathren	of willow(s) (adj)	
vKmh_!|Nxs	taugla-	to resist (vb)	
M@,BtL)kv`	taug	firm, strong, (?withstand) (adj)	
LT_~HX]nbo	tauron	forester (n)	
mpA,6p2e_U	taur	forest, wood, [N.] great wood, [G.] dense wood (n)	
b[>0aEEHT<	tavnen	made (by craft of hand), wrought, fashioned (adj)	
jsGPx7ry$.	tavn	thing made by handicraft (n)	
Bpi+Pz*%VT	taw (adv)	thither (adv)	
B,Gv[fco2U	taw (n)	wood as material (n)	
hX.VF{5!E^	tawar	forest; [N.] wood (material) (n)	
f3:rW_5Z^D	tawen	wood (of material), wooden (of make) (adj)	
mDVeB2$.sC	techu	chip (n)	
jRdo@BFB]F	tegil	pen (n)	
x?m]U|%yyL	tehar	brick (n)	
Q+[F/__sc)	teitha-	to write, draw, inscribe, make marks or signs (vb)	
jE?BenTJ:0	tel-	to end, finish, be done (vb)	
tV^TZy:iKv	teleg	leg (n)	
oGY>ptnZu6	teleir	*Telerin (adj)	
iUaQS7exH(	telf	conclusion, ending, anything used to finish off a work or affair (n)	
tf}KX%2!nP	telia-	to finish, conclude (vb)	
DG1R,S2xht	telias	play, game, sport, mirth (n)	
wzq}W:~E*h	tellyn	sole of foot (n)	
"uhtn5.+gD#"	tell	last, final (in a series) (adj)	
bRvO.Q!([-	telt	lid (n)	
B)nH1MXzWH	telum	mushroom (n)	
nD[ZG(c`ux	tengolu	semantics (n)	
yE-(@}+FrF	tent	toe (n)	
f|5k<34T[X	ten	*it, passive voice marker (pron)	
BAm1b(f1||	tertha-	to destroy, *ruin, †(orig.) to make pierced; ⚠️to devour (vb)	
u&>GPX+J+_	terthaith	waste, ruin, destruction (n)	
A<Vkjxp^CK	tev-	to detest, hate (vb)	
xJ4&YR<7]v	tevas	hatred (n)	
"zK#<7gUPe]"	tevren	hateful (adj)	
Q$bHN4>`{:	tewch	(?chip) (n)	
h9-7W7[FLt	tewig	morpheme (n)	
y6H{Y43XzX	thaes	attraction, temptation (n)	
mo,|.NNSEc	thaetha-	to split (vb)	
vR|b~cwq]E	thag-	to draw, pull (vb)	
KTG&k*-:$;	thagel	pulling, luring (adj)	
Cf:U}UwcKV	thain (adj)	law-abiding, regular, normal, *lawful, formal, according to custom (adj)	
FJKJH$ow{x	thalas	valour, courage (n)	
bWwbk!);)M	thalieth	heroine, dauntless woman (n)	
AM@:lB1UbE	thalion	strong, dauntless; [N.] hero, dauntless man; ⚠️[ᴱN.] warrior (adj n)	
cZWo6KD<{M	thall	steep, falling steeply (of river) (adj)	
GxX9.qFpZb	thalos	torrent (n)	
CIPOWiF^s-	thalph	grease (n)	
z^DngTxCUL	thanc	forked, [N.] cleft, split, [ᴱN.] divided, cloven, bifurcated; [ᴱN.] cleft, break, breach (adj n)	
cQ7{%[UV5s	thand (adj)	firm, true, abiding (adj)	
"Os#|>uqO<g"	thand (n)	shield (n)	
lD3F>aSwIt	thangail	shield-fence, shield-wall (n)	
:s0gkS,2G	thang	oppression, pressure; [N.] compulsion, duress, need; ⚠️[G.] crowd, crush, herd (n)	
d~eh1gV4lq	thar-	to saw (up) (vb)	
"ERQ;U+k#d_"	tharan	vigorous (adj)	
eQELISM2Uf	tharchol-	to translate, (lit.) carry-across (vb)	
B~DSYC?Dw/	tharf	saw (n)	
"p#JwI8cs9$"	thar	across, athwart, over (prep pref)	
"Hm67e#ZJi#"	thas-	to shave (vb)	
h3XhBHLx{o	thasgim	razor, (lit.) shave-blade (n)	
syo`dS)hfN	thasg	shaven (adj)	
s3$U3ry.PM	thast	shaving(s) (n)	
n*I&}3!@dK	thaur	abominable, horrible (adj)	
lodDuC5yCs	thavn	post, wooden pillar (n)	
xf.;D[t!QM	theinweg	lawman, lawyer (n)	
QdV!Co[}VV	thein	lawful, formal, according to custom (adj)	
BU|C$AfL9U	thel-	to intend, mean, purpose, resolve, will (vb)	
L%^IudmA<5	thennas	shortness (n)	
l2(cIO4vB?	ther-	to sew (vb)	
INx+>)?Sif	theres	ribbon, ⚠️tie (n)	
rB7RS5*)qg	theria-	to be vigorous, flourish (vb)	
A@7PS;)Io,	theriol	flourishing (adj)	
N@?j`-E|]x	thibinor	piper (n)	
g^95n?iKEI	thibin	flute (n)	
M|vSE(p}pV	thimma-	to play a flute or whistle (vb)	
Pn*>Ar`d!)	thimp	the stop on a flute (n)	
IZ.WS0R~:n	thim	milk (after separation) (n)	
J(ASY(U};~	thind	grey, [N.] pale (adj)	
cOf6o_(?xA	thint	tin (metal) (n)	
H.MziMO/CY	thir-	to seem, appear, look (vb)	
x)SP8@D!v:	thirph	straw (n)	
x/OM1oc)$G	thisin	parched, withered, *desiccated (adj)	
qx|H<5.Js1	thista-	to dry up (vb)	
mo^8~_aRr~	thiv-	to skim (vb)	
ob]b5D{L1H	thivol	whistle, piccolo (n)	
voBihQ105y	tho-	*will be (vb)	
w*qE9c7KG1	thond	root, [N.] base; ⚠️root-word (n)	
Ba5q7ZJP*O	thoniel	kindler (in the past) (adj)	
CXC@qsZ!w!	thorn (adj)	steadfast (adj)	
P@1M*0dliD	thornang	steel, (lit.) hard-iron (n)	
owS[@X%[V;	thorombar	eagle’s nest, eyrie (n)	
D6eH0zaHK;	thossui	fearful, afraid (adj)	
iw*i9C@*q@	thoss	fear (n)	
cv?Q^w[0Wg	thostol	stinking (adj)	
M+8$HhWF1$	thos	puff (of air) (n)	
F[H(Jk;VnA	thriben	lean (adj)	
J|F}m@o.Td	thrimp	stalk (n)	
F9E``MBi[^	thuis	resinous juice; any adhesive substance (n)	
"q|+9S#-?Z+"	thurin	secret, hidden (adj)	
CZ(gt^AphS	thâf	hay (n)	
b/`)iuEa_`	thîr	face, [N.] look, expression, countenance (n)	
Q@7*rA-*V<	thôl	helmet, helm (n)	
EGV7]E4O&y	thôn	pine-tree (n)	
yi4ad.MZU`	thúna-	to be spiritually affected, inspired (vb)	
s+Ip;zyJ/F	thúnas	inspiration (n)	
k!hlC}Uq-a	thû (Emotion)	movement of spirit (n)	
"ArT^5#.j6-"	thû (Sense Perception)	[N.] stench; [S.] black mist, horrible darkness (n)	
B{v1^5vC=@	thûg	resin (n)	
Cmfbq$_EjC	till	point, spike, (sharp) horn, tine, ending (n)	
i9&KF6V;H~	timp	hoot, note of a flute (n)	
j[]BVH8%+?	tin (pron)	them (pron)	
N~mnaaUl$4	tingen	metallic (adj)	
PiiAT|=A7	tiniath	group of stars, star-cluster, constellation (n)	
GKAI<ypGAe	tinnu	[N.] (starry) twilight, dusk, early night (without moon) (n)	
NAW4R?LC4}	tinthiltha-	to twinkle, *sparkle (vb)	
"O0?#X^!OM."	tinthilthad	sparkling, twinkling, scintillation (n)	
wA&IlQPB-B	tiph-	to whistle (vb)	
FWatolDe+I	tiphin	small flute (n)	
G75<)C^I8M	tir-	to look (towards), watch (over), guard; ⚠️[G.] to look (out) for, watch for, await, expect (vb)	
p5(T1KSlOI	tiria-	to watch, gaze; to ward, guard (vb)	
oQd3AX^-Y9	tirith	watching, guarding, watch, ward, guard (n)	
fSkCeYjLD~	tirnen	guarded (adj)	
d}]V6Bw:xz	tisga-	to tickle (vb)	
G3=zJZ,}=A	tisg	ticklish (adj)	
(N;!H|M,E	tith	breast [of a woman], teat (n)	
G:+9{sVw_U	ti	*they (pron)	
H!Pas&:C&9	tobla-	to hide (vb)	
"Az#w)FxrMF"	toch	cud (n)	
l*m5HVD_L+	tol(l)	island, (high steep-sided) isle (n)	
F5Xjq.Q9bz	tol-	to come (vb)	
bNKu?,W,1I	tolcha-	to support, *steady, comfort; ⚠️to make firm, confirm (vb)	
e}i$@x*faz	toled	coming, arrival (n)	
Gm?BWM.IoS	tolf	mast (n)	
Ax_-.i=Ku$	tolophaen	eighty (cardinal)	
AgN9D}n$Ia	tolpheg	spoon (n)	
lkh_ym0Nf2	tolph	bowl, basin (n)	
n%9s<x*Q!V	tomp	humped, bulging (adj)	
NK*COmt>_c	tond	tall (adj)	
lG-%q)eW+:	tor-	to win, have victory (vb)	
CH`VKv,8Fb	torchal	shark or other large predatory fish (n)	
yS>i(DGN_|	torech	lair, (secret) hole, excavation (n)	
FQ[MrZwrbI	torn (adj)	hidden, secret (adj)	
bS_99)u~)g	torn (n)	burial mound (n)	
jb9dYQVdX.	tor	the Dead (n)	
t4s0t_u]8I	tosta-	to cough (vb)	
nT&^~k-U:*	tovn	lowlying, deep, low (adj)	
s:K,fx|Hjq	trannail	regional, local (n)	
eubU:wD3Na	trann	shire, *county, adminitrative region (n)	
dQ;|1FZfQ_	trastadweg	annoying (adj)	
h^cU/tQW5p	trog	easy to handle; convenient, tractable, docile (adj)	
d}evvP%7N`	trunc	great stake (n)	
kXR(4dBJ7o	tudheg	match (n)	
rA-%gT]tIf	tudh	tinder (n)	
g/zf)27!d.	tuig	shoot, sapling, ⚠️sprout (n)	
x)3!4/7|GR	tuilas	petal, (lit.) bud-leaf (n)	
A*+T)0MckS	tuil	spring (n)	
P1&L;!~zWI	tump	shed (n)	
bg).e7Mv~H	tum	(deep) valley, vale; ⚠️[ᴱN.] flat vale (n)	
KgAL=tR)JF	tunc	chance, occurrence; ⚠️arrival; hit at shooting; luck (n)	
JH;@rmagM[	tund	(1) log for the fire, *firewood, fuel; (2) mound, hill (n)	
i*I[GfxHrc	tâd	two (cardinal)	
hWj1}^/0IN	tâl	foot; [lower] end (n)	
"kd{ufU#*)f"	tân	builder, smith, wright, artificer (n)	
AkXDj)?3+n	têw	letter (n)	
hdguujq0$M	tíra-	to see (vb)	
FZQeh|qF6j	tírad(a)-	to correct, straighten, rectify (n)	
wSI-GL36EY	tírad	vision, seeing (n)	
iR0Lla),Nh	tîf	resentment, ill feeling, bitterness (n)	
Mcx1^x<WV3	tîl	scab, cicatrice, healing of a wound (n)	
lSlQnL>7Ko	tîn (adj)	silent, quiet (adj)	
neb$L-;,o%	tîn (pron)	his (pron)	
vp$NM[7LPQ	tîw	*letter (n)	
nso7B??~q]	tódhi	paddock (n)	
ilkYUxnDKW	tô	wool, fleece (n)	
"yQiQiqhV#."	túgomui	corpulent, (lit.) having a fat belly (adj)	
bp4$`biSw:	túgom	fat-bellied (adj)	
O/zq42sn$T	túliel	come, arrived (adj)	
JhOoZ4?c*9	tûr	[N.] mastery, victory, [ᴱN.] power [over others]; ⚠️[S.] master (n)	
EZ>:Svt2:a	tŷg	thigh (n)	
n.sSn`XuW.	ui-	twi- (pref)	
O/IoZ4&IxY	uial	twilight, evendim (n)	
"J$KMO#WVhh"	uil-	to rain (vb)	
Ji~;qq+Ib0	uilos	white flower like a star (n)	
hZKFczSfO	uir	*fiery (adj)	
C2A]TUH[>{	uitha-	to smoke (trans.) (vb)	
DP0Q5}KP^6	ui	ever (adv)	
uu&Ht1x`kz	ulunn	monster, deformed and hideous creature (n)	
qt?v)SEk;n	ummas	evil (n)	
u;D+imVPW=	um	bad, evil (adj)	
m^2?f/VmTC	unt	nothing (n)	
q]4%[4Yx]!	urnui	inflammable; touchy, irritable; ⚠️explosive (adj)	
H-Olo?d=0g	urug	bogey (n)	
d,z$DaNp~z	uru	brazier, grate (n)	
kay(G3e?<i	uthwen	escape, way out, exit (n)	
Pn`O?sbXlB	uwedhen	outlaw, outcast (adj)	
me,H<33FgA	uwedhron	outlaw, outcast (n)	
ZWgB>V;Cz	vi	in (prep)	
lE7AnBi9ZR	ylf	drinking-vessel, *cup (n)	
"t35V#&uR4J"	ylin	liquid (adj n)	
"$_Q?>#RPc"	yll	draught (n)	
w_)+vEo`{J	ylvon	chalice (n)	
P@+McFAYHh	Úrui	August, *Hot-one (n)	
uvJr0_rXP/	ídhra-	to long for, desire (vb)	
J%lS1VgY|N	íd	extremely, very (adv)	
"d/lh#gvaY?"	ínias	annals (n)	
K:1yIx8&Le	íphathred	yearfullness, age of person (n)	
Jp0,tg4a^+	íra-	to desire (vb)	
dcx=k0LN}y	írui	desirable, lovely (adj)	
B[V.o+dBn:	î(r)	impersonal plural pronoun (pron)	
NfqkPcwz@I	îdh	rest, repose, peace, tranquility (n)	
cDxdEs6[NG	îf	cliff, sheer descent (n)	
"r#Zes~-@B~"	în (n)	year (n)	
Mb[&$~g+xn	în (pron)	his, *reflexive possessive = his own (pron)	
I];tqc`-:K	îr	*alone (adj)	
Hh6RMrF=pr	î	indeed (interj)	
JgiHKfSW8,	órui	daily (n)	
wRhhyR`Riu	ôf	hood (n)	
pyBpis+1M_	ú-	no, not, negative; impossible; ⚠️[N.] bad- (pref)	
K}Anx_T$y[	úbedui	not fit to say, unspeakable (adj)	
g4k{A~iDFO	úben	nobody, no one (n)	
Kh5Q9`LaK~	úgan(n)	gutless, faint-hearted, diffident  (adj)	
v$B-Yr{6pw	úgarol	idling, not now doing or making (adj)	
iWc501T|~7	úgarth	trespass, *(lit.) misdeed (n)	
rIbN0|:@Nu	úgethiol	boring, (lit.) not interesting (adj)	
B?V3?9B64h	úlam	dumb, unable to speak, (lit.) untongued (adj)	
sF[K_AKfyC	úlren	odorous (adj)	
x]j:X$8yZ$	únodui	countless (adj)	
hMVH=YM*Ky	úthaes	inducement to do wrong, *temptation (n)	
q)>i=sDE_@	úthúlui	breathless (adj)	
GXi`1J7vvx	úvae	vowel; vocalic (n adj)	
u~!,BTsc<^	úvelui	not amiable, unloveable (adj)	
LmW`<kbuc^	û (adv interj)	no, not, [G.] nor (adv interj)	
ja(^tO/p!j	û (n)	voice (n)	
F5>_2z=R@Q	ûr	fire; ⚠️[ᴱN.] sun (n)	
n0Q41@j{e5	ýda-	to hint; *to wink (vb)	
b{t+{xMa>{	ýl-	to drink (vb)	
;8:L<X+Oy	ýneg	twelve (cardinal)	
te2m9k$oz0	ŷl	lamb (n)	
izBzS~-peB	delch	dense (adj)	
p:hW!b14,?	dom	blind (adj)	
hK@A8:-OOm	gwaeren	windy (adj)	
