#separator:tab
#html:true
#guid column:1
#tags column:4
"B-N|kF-#aW"	-(r)on; -or	agental suffix (suf)	
GXi`1J7vvx	úvae	vocalic; vowel (n adj)	
u~!,BTsc<^	úvelui	not amiable; unloveable (adj)	
LmW`<kbuc^	û	no; nor; not (adv interj)	
n0Q41@j{e5	ýda-	to hint; *to wink (vb)	
;8:L<X+Oy	ýneg	twelve (cardinal)	
te2m9k$oz0	ŷl	lamb (n)	
izBzS~-peB	delch [nd-]	dense (adj)	
p:hW!b14,?	dom	blind (adj)	
hK@A8:-OOm	gwaeren	windy (adj)	
"c.s#*gn~3u"	dadhren [nd-]	facing; opposing; opposite (adj)	
QmA7}78vR;	ûr	fire (n)	
mX^w:1J;_P	hû	dog; hound (n)	
rD4@rKj$}m	lind	chant; singing (n)	
qdV/<2[Inz	ross (n)	rain; spray (n)	
NH727oV;Jd	-(r)il; -dis	feminine agent (suf)	
tGJM~5GFom	dam [nd-]; dring	hammer (n)	
dfYz3k}:ki	ambenn	uphill (adv)	
"E)Tn#|<nl;"	amlug; lhûg	dragon (n)	
bgIwh8O_eu	angol; ongol; thû	stench (n)	
MZ7w5fIphr	ionn	son (n)	
P[eiz?po&,	ascar; asgar	impetuous; rushing; violent (adj)	
cU+_^BA-S1	badhor [mb-]; badhron [mb-]	judge (n)	
"JGlI`l#0zC"	hamp	garment (n)	
sT+wbjt2b$	balch [mb-]; baug [mb-]	cruel (adj)	
d^zS_!n]Mu	peng	bow (for shooting) (n)	
OCw^eiJ[5o	brannon; heron; hîr	lord (n)	
iZq&IlLTu^	cennan	potter (n)	
bVn>p&c*DP	corch	crow (n)	
y%3<}Hc9[B	puia-	to spit (vb)	
tM%Sd2c>$7	ell	sky (n)	
f}8-l.nqAL	telia-	to play (vb)	
l2-X2`ZY<}	doltha-	to conceal (vb)	
Kcm@e6iA5&	dineth [nd-]; dîs [nd-]	bride (n)	
wF>(spX{U<	doron	oak (n)	
r7$.RYJ3QL	ercha-; nasta-	to prick (vb)	
t5g42ELmnL	faron; feredir	hunter (n)	
qq4pf+8&S-	gae; goe; gor [ng-]; goroth [ng-]; gost	dread (n)	
m@KHFqqnVJ	galad	light (n)	
"LW@2FWuX#X"	glavra-	to babble (vb)	
O+dh;an9gp	glaur (n)	gold (n)	
xms<+uR)TU	glî	honey (n)	
J2zEYLmc.a	gobennas; pennas	history (n)	
j/;w!zRjB0	uireb	eternal (adj)	
QDyoGq|>^8	gwanod	number (n)	
mM$nn19m<H	gwass; gwath; maw	stain (n)	
M5K~^!~V=y	gwedh; gwend; hemp; nûd	bond (n)	
HFAu!xW~d+	gwilwileth	butterfly (n)	
GQIT/X[2,S	neth (adj)	young (adj)	
w.+K=bG:cf	hador; hadron	thrower (of spears and darts) (n)	
kcQg<$Ki+L	haradren; harn	southern (adj)	
bRlyI@tKw*	hartha-; mer-	to hope (vb)	
Mt_V.vo>C*	he; hen(e)	she (pron)	
KkvPckLE},	heleg	ice (n)	
(1~p59HDv	herven; hervenn	husband (n)	
B^%{y>`HK@	iell; sell	daughter (n)	
"d:I#-zr%m,"	nimp (nim-); thind; thinn	pale (adj)	
E|e$I$>0i3	men; sad	*place (n)	
BS1B/sR%Jd	morn (adj)	black (adj)	
"z{#WM4_I;`"	nadhor; nadhras	pasture (n)	
Hl_||+Bh53	carch; neleg; nêl	tooth (n)	
mA^O`N$FWQ	nest; nesta; nethra	core; ?heart (n)	
GPLp%6ct:M	saer	bitter (adj)	
IAf9GG20-e	tinc	metal (n)	
x+U(fcQD92	tol; toll	island; isle (n)	
dOw,[cf_bv	-(i)ol	active participle (suf)	
Dl?)x&pK0O	-gon (Emotion)	valour (suf)	
twv>BA>KdQ	-rim	group plural (suf)	
jEDy=Pe0EF	Dân [nd-]	Green-elf (n)	
Q;{O?<sOz8	Eledh	Star-folk (n)	
"eg<NB:#zj<"	ada	daddy; father (hypocoristic) (n)	
M<T5ZI.z{C	adab	building (n)	
JGmZy)jUxP	adel	behind; in rear (of) (prep)	
LcMz>4v6$2	aes	cooked food; meat (n)	
NH]+xVJ$8K	aglareb	brilliant; glorious; *radiant (adj)	
g5se=dxVRw	agor; úlan(n)	narrow (adj)	
yG+y}[]6D>	alaf	elm (n)	
c?$58>I_1n	alagos	storm (of wind) (n)	
mw8.u]e22r	alag	impetuous; rushing (adj)	
ki+t_d8?Yk	am-	snake (pref)	
k0WgY=p~U0	amben	arduous; difficult; tiresome; uphill (adj)	
Ch:)LG57MN	anc	jaw; row of teeth (n)	
Kk)/w/V2P}	angwedh	chain; fetter; (lit.) iron-bond (n)	
u4|th1PV)Q	annabon	elephant (n)	
-YG^F4Qt(	arnen	?royal (n)	
A[wto[5~}v	ast (Physical World)	dust (n)	
f3:)%+vn`-	athan	beyond (prep)	
"n#)1hoX?+c"	athrada-	to cross; to traverse (vb)	
h4EMW{hQnY	auth (Warfare and Hunting)	war (n)	
nFpZumRi@8	awartha-	to forsake (vb)	
q,GyGS.Hny	awarth	abandonment (n)	
pO,u?+W4vv	bach [mb-]	article (for exchange); thing; ware (n)	
kCf(3g^~g=	bachor [mb-]	merchant; pedlar; *trader (n)	
"s!#Pv:q%v|"	bad-	*to tread (vb)	
mUlLy6V4jE	badh- [mb-]	to judge (vb)	
CgB$nxQabd	banga- [mb-]	to trade; to *sell (vb)	
ze^4[<b6xx	bann [mb-]	duress; prison (n)	
ivh${`DXG@	barad [mb-]	doomed; *fated (adj)	
i-.TU:b/~v	baradh; thall	steep (adj)	
rP-7E:*C+{	bara	eager; fiery (adj)	
"g*`$U,K=1#"	bartha- [mb-]	to doom (vb)	
i2FVBt:i8n	basgorn [mb-]	cake; loaf; loaf of bread; round loaf (n)	
Po,g$Yh3uK	batha-	to trample (vb)	
ueTsg[23l.	baudh [mb-]; caweth	judgement (n)	
lL1zU(x<J~	baug [mb-]	oppressive; tyrannous (adj)	
M>MTJu)ma.	baul [mb-]	torment (n)	
NBH`xK+U%4	baur [mb-]; thang	need (n)	
QiW%R6rch<	bellas	bodily strength (n)	
Me+x!J%z;M	belt	strong in body (adj)	
p8fVKYGf;V	bennas; naith	angle (n)	
nofDQW$7fY	benn	male; man (n)	
mD-kN:i.OV	beren; thala	bold (adj)	
rbp*b6pGhW	bereth; rían	queen (n)	
BH[J/`.sjG	beria-; osta-	to protect (vb)	
b_(zlz_g-e	bertha-	to dare (vb)	
Ra~/FU0-J,	bess	wife; woman (n)	
"H*K#w>0|m,"	blab-	to beat (wings etc.); to flap (vb)	
"h}T]0#{U_%"	both [mb-]	puddle; small pool (n)	
d_]t<M@(:D	brass (Sense Perception)	white heat; *extreme heat (n)	
cBy&$t<1vU	brassen	white-hot; *very hot (adj)	
C(tD+g5lgv	bregedur	wild fire (n)	
t7:p|jQ8<,	breged	suddenness; violence (n)	
n0lcNcfM^i	bregolas	fierceness; *ferocity (n)	
lec9,xbd!k	breitha-	to break out suddenly (vb)	
i.$4qCAA%_	brenia-; dartha-	to endure (vb)	
o$@.of}xX=	breth	mast; *fallen nuts or acorns (n)	
qZF5{}tf8q	brona-	to last; to survive (vb)	
P+O$@B6=:1	bronadui	enduring; lasting (adj)	
v&)@?KOY*K	brôg; medli	bear (n)	
yBh8X`3PW7	brûn	old (has long endured) (adj)	
m9i8|TZtSk	buia-	to hold allegiance to; to serve (vb)	
OL(1_(6C$0	bâd	beaten track; path; pathway; road; way (n)	
pj%bjj,%F=	bôr (adj n)	faithful vassal; steadfast; trusty man (adj n)	
e9:<Cg>sNW	cabor	frog (n)	
D]A4fc{![@	cadwor; maed	shapely (adj)	
hjmG:ESwAq	caeleb	bedridden; sick (adj)	
DwVw,.g`y9	cael	lying in bed; sickness (adj)	
F,]i/O9A:Q	caew	lair; resting-place (n)	
dT*5AI[JB;	calf	water-vessel (n)	
N1R3HpXh-0	callon; thalion	hero (n)	
j}`S+EcEZ/	car(dh)	house; structure; *construction (n)	
NRN*fcOlPm	carab	hat (n)	
oBCY!27O{?	carag	spike; tooth of rock (n)	
j70n)8UTGD	caw	top (n)	
HmbqWGV]b9	ceber (Physical World)	-rock; ?limestone (n)	
p.%$hr{{o+	cef; maw	soil (n)	
lK%s}/zl65	celeth	rill; runlet; stream; *brook; (lit.) a flowing (n)	
L0W4TNxZ:=	celevon	*of silver (adj)	
Ig7xo(0OEI	cerch	sickle (n)	
Pzo+K(C7HS	ceredir	doer; maker; *crafter (m.) (n)	
QgYugI+8fv	cerin (Spatial Relations)	round enclosure (n)	
A]l=CpaoKl	cevnas	earthenware (n)	
F3EsYSEn_T	cevn	earthen; of earth (adj)	
"p)J,)#tk)("	cirdan	shipbuilder (n)	
JL}k_A>5M_	claur	splendid (adj n)	
B~L&*?J<OX	coll (adj, Sense Perception)	scarlet (adj)	
jRmXT0iT7_	corn	globed; round (adj)	
u+dP(bSS6a	coron	ball; globe (n)	
p|~XffFZ1l	cost	quarrel; *dispute (n)	
Ow@yeG+CA|	coth	enemy; enmity; foe (n)	
N$TJ=zWu?d	crann	blush; ruddy (of face); the cheeks (adj n)	
:sR?/b(:6	criss (Physical World)	cleft; cut; pass; slash (n)	
EU}`39vjBz	crist	cleaver; sword (n)	
cPX6@1G%=W	critha-	to reap (vb)	
ltZ4ai(-HR	crumguru	guilty; sinister; wiley (n)	
diOa]=byy)	cuen	petrel; sea-bird; small gull (n)	
N?g=2Zl@%9	cugu	dove (n)	
jfDFwXFt@3	cuil	life; lifetime (n)	
v%Mw@/19,n	cuin	alive (adj)	
yPqCz}bCNF	curu (Mind and Thought)	cunning (n)	
"n)~*qG]O7#"	curunir	a man of craft; wizard (n)	
tjiN}FB6!W	cû (Spatial Relations)	arch; crescent (n)	
k[3P2G!08<	cûn	bent; bow-shaped; bowed; concave (adj)	
oA$9*,Eoq4	dadbenn	downhill (adj)	
BHf|IiAM5o	dadben	(figuratively) easy-going; downhill; easy; inclined; not arduous (adj adv)	
C9$=U|8mw{	dad	down (adv)	
iRhHJ@!0!1	daen [nd-]	corpse (n)	
I0-x|=%~Tm	dae (n)	shade; shadow (cast by an object or form) (n)	
so+qn^_0|i	dagra- [nd-]	to battle (vb)	
i?zJwQ||[6	dalath	flat surface; plane (n)	
D?^FCqE/>p	damma- [nd-]	to hammer (vb)	
nY(T&}Wkz%	dannen	fallen (adj)	
"N#TAoWja$/"	dartha-	to last; to remain; to stay; to wait (vb)	
BRfl+tF`w)	dath	abyss; hole; pit; steep fall (n)	
jhpiKCO]&X	daug [nd-]	soldier [with evil connotations]; warrior (n)	
LNZLQfY;u~	deleb	abominable; horrible; loathsome (adj)	
e1mErx&P|w	dilia-	to stop (up) (vb)	
c}4s-Q1NRR	doll [nd-]	dark; dusky; hidden; obscure; secret (adj)	
lKK,H=u5C:	dolt [nd-]; hethu	obscure (adj)	
m+3K130H3&	dolt [nd-]	boss; round knob (n)	
m]1myDdDJ&	donn	shadowy; shady; swart; swarthy (adj)	
L.<XukXZPV	dortha- [nd-]	to dwell; to settle; to stay (vb)	
F9@QgVj!Q&	drambor	blow with a fist; clenched fist (n)	
B-_.zo,.Jp	dram	heavy blow; heavy stroke (n)	
s0`0mQ[g&G	drava-	to hew (vb)	
umqi[Cj&p<	dringa-	to beat (vb)	
g+Xpo$D]fH	duirro	*river-bank (n)	
JgPxyA?v=@	dâf	permission (n)	
]D@w5$*XX	dîl	stopper; stopping; stuffing (n)	
eT>to1WPry	dîn (Physical World)	gap; opening; pass in mountains (n)	
M[Rc&`Xu.B	dîr [nd-]	adult male; agental suffix; man (n)	
Q4NRuA>/FJ	duwath; dú(w)ath	night-shade (n)	
LA/?Q*`@JH	dûr; graw	dark (adj)	
u&diGEn`[~	eb (Time)	?before (prep)	
DeJXuByKpg	ech (n)	spine; *spiny quill or bristle (n)	
jGcfwjjN~0	echad- (Physical Acts and Materials)	to fashion; to make; to shape (vb)	
O.Ud1FT:v0	echain	built again; new (adj)	
Og4@CXNe/E	ed-	forth; out (pref)	
I&u~&>u6sj	eden	begun again; new (adj)	
QKb8OZ8)`C	edonna-; onna-	to beget (vb)	
hEFF0aU]c^	egnas	peak; sharp point (n)	
LJ!hO+s__E	emlin	yellow bird; yellow hammer (n)	
w~!WAOH)E9	ennin	Valian year (n)	
"us0gR#*GG_"	erch	prickle (n)	
GP9hq-xLgU	eredh	germ; seed (n)	
n^b4eZCt1k	eria-	to rise (vb)	
J9i2vD41UB	eriol	alone; single (adj)	
o0wSzL2G0-	falf	breaker; foam; wave (n)	
zDtJt@!,&h	faltha-	to foam (vb)	
I)cLuWt(D8	far	enough; quite; sufficient (adj adv)	
rR6R^/]>Z*	fara-	to hunt (vb)	
Nntrc`X+ZR	farf	?carpet (n)	
z$z2m?wnAw	farn	enough (adj)	
Nj.md!!1%D	fast	shaggy hair (n)	
"QpG#K})m+D"	feira-	to suffice (vb)	
Dtvd&9FS:	feir	mortal; mortal man (n)	
jEHOj1*cxs	fileg	small bird; *sparrow (n)	
odZUJle=}7	filigod	small bird (n)	
w^F$&0S7u8	finnel (n)	(braided) hair (n)	
"KB#dzXc+5S"	forodren	northern (adj)	
KAI8C5tnQJ	fuia-	to abhor; to feel disgust at (vb)	
Qx!f+xxriI	gad-	to catch (vb)	
O`V7}AcV7z	gador	dungeon; prison (n)	
"u2kd#jI8!l"	gael	glimmering; pale (adj)	
LDKVd`he`G	galas	growth; plant (n)	
Nv^2j~fk+J	gammas	s-sign (n)	
E:Oeu?8|-v	gann(ad)a- [ng-]	to play a harp (vb)	
E`DV,DbuzX	gannel [ng-]	harp (n)	
Jc%Pdn!BCi	gar-	to have; to hold; to *possess (vb)	
g3~_(;qsRe	garn	property; ‘own’ (n)	
hY0jN$H_zI	gartha-	to defend (vb)	
iw,&ch;<HZ	garth	fort; fortress (n)	
sK8~SH%PnA	gasdil	stopgap (n)	
L7;OG7v<l*	gas	gap; hole (n)	
L_4ZGC8{&T	gaud	contrivance; device; machine (n)	
JTs=7[kjF)	gaul [ng-]	wolfhowl (n)	
CfDeb7|_lA	gaw- [ng-]	to howl (vb)	
dHCv?I2AA%	gawad [ng-]	howling (adj)	
viYP/H*--Q	gaw; iâ	void (n)	
K)/+%C=?&=	gellam	jubilation (n)	
u)}9K9NqY9	gellui	triumphant (adj)	
rl=zTluSEu	gell	joy; triumph (n)	
fCW4z3K_b`	gem; lhaew; nimp	sickly (adj)	
p<ISeDWzKW	gern	decrepit (of things); old; worn (adj)	
JX9Za~{KZ5	gildin	silver spark (n)	
Q:0{}WQ)th	gilhof	dew; *(lit.) star-juice (n)	
NIpZ.yLI8;	gilith	starlight; *region of the stars (n)	
O)H<^xvM}j	glaew	ointment; salve (n)	
"v7iK<L#daU"	glaiw	salve (n)	
cvM!s`Bt$0	glamm	barbarous speech; confused noise; shouting (n)	
hK]+D:0LR+	glan	clear (adj)	
Jfou)7XD^|	glass	joy; *happiness (n)	
u1RGk]eqU.	glas	joy (n)	
N5J&3=zw<V	glavrol	babbling (adj)	
r%4xKjQ`%w	glaw (Sense Perception)	radiance (n)	
t^g@J1++Xl	glawar (Physical World)	radiance of Laurelin; sunlight (n)	
f;)C496@T$	lhinnas	slenderness; thinness (n)	
AK23LbI~eb	gling-	to dangle; to hang (vb)	
m6Z{uh!`6j	glir-	to recite poem; to sing (vb)	
ISag19a|@*	gloss (adj)	(dazzling) white; clear white; snow-white (adj)	
NJ^HA+WPGp	gloss (n adj)	snow; snow-white (n adj)	
iCt}l,m|Es	glîr	lay; poem (n)	
gTrr0M&VQ/	glûdh	soap (n)	
pXL0-k&~ie	gobennathren	historical (adj)	
sHIsAk+$Xa	golf	branch (n)	
z]ZMx3HGdm	gollor [ng-]	magician (n)	
K~WxxDxMS_	golwen [ng-]	learned in deep arts (adj)	
ksjiGYOF:B	gonathra-	to enmesh; to entangle (vb)	
Bp[F_8@V6a	gonathras	entanglement (n)	
"o4!Y!&1#k~"	gondram	hewn stone (n)	
NJ?WB:IET$	gondren	*of stone (adj)	
Q%w?FIxC_k	gonn	stone (n)	
eWCXTNna&&	gonod-	to count (up); to reckon; to sum up (vb)	
u=rm:H|k_0	gorf	impetus; vigour (n)	
J=@9WxY>Qs	gorgor [ng-]; naer	dreadful (adj)	
pI3=U`RjN)	gorn	impetuous (adj)	
nKQNOlgw!Z	gosta-	to fear exceedingly (vb)	
"htk#)8n-N%"	gost	terror (n)	
EL>O8_[z.a	govad-	to meet (vb)	
d:3!Jga/HT	gowest	compact; contract; treaty (n)	
K*]xs+l{7W	grond	club (n)	
DJ]t9gvQ(A	gruin	ruddy (adj)	
"OvOh#}?6=Y"	gwa-	*away (pref)	
I?+kD!t?0.	gwador	(sworn) brother; associate (n)	
DpM&DSRJys	gwaeda-	to enfold (vb)	
lV(Gk_mBOg	gwaedh	bond; compact; oath; troth (n)	
Os|~E-F,;h	gwalir	rhyme; rhyming poem; rime (the two actual rhyming words) (n)	
zR?^hky2t2	gwanna-	to depart; to die (vb)	
i]xKH1H<qK	gwann	dead; (lit.) departed (adj)	
D%xZOml|EI	gwanur	kinsman; kinswoman (n)	
gZt]%NEC,1	gwarth	betrayer (n)	
fNJalgCH$k	gwastar	hummock (n)	
f@wPCAd%t2	gwath	dim light; shade; shadow (n)	
eiMLDybPb&	gwatha-	to soil; to stain (vb)	
uHvis2+3~k	gwathel	[sworn] sister; associate [f.] (n)	
"L`k#y81jUA"	gwaun	goose (n)	
rz;W&;Z8%~	gwaur	dirty; soiled (adj)	
qHj+X8i]2?	gwedh-	to bind (vb)	
jSrW1DWQyY	gwenn; gwenneth	maiden (n)	
yVy]h]r;FD	gweria-	to betray (vb)	
w^u@bj-TP.	gwest	oath (n)	
D(%j>3Au`w	gwesta-	to swear; to witness (vb)	
muNb8pcTn_	gwilith	air (as a region); *lower sky (n)	
g0c57RWLt>	hab-; hamma-	to clothe (vb)	
bd)amAndzZ	habad	shoe (n)	
fpD7zGrqwU	had-	to hurl; to throw; to *fling (vb)	
y9Rm&p9nCD	haew	custom; habit (n)	
x?57otiGF0	hal-	to lift (vb)	
"HJ!M#C,PX+"	half	seashell (n)	
ie>9rsq|Xt	hall (Physical World)	hidden; shadowed; shady; veiled (adj)	
"sm^aVJ#g0>"	hall (Spatial Relations)	exalted; high (adj)	
c{jU+c_eq;	haltha-	to screen (vb)	
oHc|y-XC)!	hamma-	to get dressed; to *put on clothes (vb)	
leP>zefU?*	hammad	clothing; *clothes (n)	
MC0Zl0;C%G	hannas	intelligence; understanding (n)	
K}Ea}bKOq!	harn (Body Parts and Functions)	wounded (adj)	
"OeZ=P3*|?#"	harna-	to wound (vb)	
P;`Mq?|cuW	harthad	hope (n)	
eaQ~EBTVEL	hasta-	to hack through; to *cleave (vb)	
Q/pfex0L3L	hast	axe-stroke (n)	
x}m[sr%l[w	hathel	axe-blade; broadsword-blade (n)	
hp%mS%En,R	haust	bed (n)	
"G,/rPX#y?c"	helch	bitter cold; ice-cold; icy (adj)	
MkfR{040P5	heledir(n)	kingsfisher; (lit.) fish-watcher (n)	
fkVr@v&:ch	heleth	fur; fur-coat (n)	
w-J)1}r}cU	helf	fur; *hide (n)	
oWx@Qh4lep	hell	naked; *stripped (adj)	
r_Y$Ih/vw4	heltha-	to make bare; to peel skin; to strip; *to despoil; to *flay (vb)	
Ri=I%j~CYR	henia-	to understand (vb)	
I2v[sZ,|jh	heria-	to begin suddenly and vigorously (vb)	
AynmyRIiUN	herth	household; troop (n)	
LYSE^AIs>n	hiw	sticky; viscous (adj)	
e?jYed{AdC	horn	driven under compulsion; impelled (to do something) (adj)	
F*!)X75Kez	hortha-	to speed; to urge on (vb)	
oSjRg3F{E@	host	gross (144) (n)	
Cy<XBw%it-	hûb	harbour; haven; small landlocked bay (n)	
e]CAJ_l%j+	hûd	assembly; moot; *gathering (n)	
E?+1iV$.<m	hûl (Language and Music)	cry of encouragement in battle (n)	
Heo)%Vqi2i	hûr	fiery spirit; readiness for action; vigour (n)	
p),il+IA`V	iaeth; lang	neck (n)	
p=>~EFmo+*	iaew	mocking; scorn (n)	
ynxb~ZI6;&	esta-; ialla-	to call (vb)	
ph~oV1=Dt2	ial	shout; *cry (n)	
JH0dVccucz	iaun (n)	fane; holy place; sanctuary; temple; *shrine (n)	
NF$P,UPj$^	iau	corn; *cereal crop (n)	
Q/a8{R7&~G	ia	gulf (n)	
p1~1k*i<{|	idhren	pondering; thoughtful (adj)	
w0ya/4}L|[	iest	wish (n)	
C-bsi^EhDs	ifant	aged; having lived long; (lit.) year-full (adj)	
yF6NE^!iQ-	imm	deep vale; dell (n)	
M9705&y%5M	inc	guess; idea; notion (n)	
"AJcw^wY`l#"	ingem	decrepit; old (in mortal sense); suffering from old age; (lit.) year-sick (adj)	
x-h3qEE$IS	iofog	cider; fruit drink (n)	
c4N3$RquU[	iolf	brand (n)	
k@+wh;F;H^	io	ago (adv)	
pR8[S%i2Nd	ist	knowledge; lore (n)	
wR@`4wLU~	ista-	to have knowledge; to know (vb)	
C}.sj%1sG6	istui	learned (adj)	
hn?.%&Dxi>	iuitha-	to employ (vb)	
M(&xY|I+68	iuith	use (n)	
NPyi|}@fJb	iôr; rant; rath	course (n)	
"bfPiK#/[QU"	iûl	embers (n)	
t+CcNF9VnK	laden	cleared; equitable; fair; flat; open; wide; *level (adj)	
"Cj#t0gM*uF"	ledh-	to fare; *to go (vb)	
ys|*DZ}`[@	leithia-	to release; to set free (vb)	
j}>Y*km7f	leithian	freeing; release; release from bondage (n)	
O/HVxiq3^z	lo; lô	flood (n)	
vPHt;GyRBF	lobor	[heavy riding] horse (n)	
q7TO$!$4}[	loss	snow (n)	
s9fFB,2wNR	luithia-	to quench (vb)	
lOw]PJKI>+	lô	fenland (n)	
f~YCIOS&&L	maen (adj)	clever; skilled (adj)	
DLIVBC>*]9	maenas	art; craft; handicraft (n)	
"FP#)GZUb0Z"	maeth (Warfare and Hunting)	fight (n)	
kK6!7]AH)H	maetha- (Warfare and Hunting)	to fight (vb)	
"l*#5i|2/<w"	maethor	warrior (n)	
J%*[J~F8%=	maidh	fallow; fawn [light yellowish tan colour]; pale (adj)	
F_FWMulFQ}	malen	yellow; yellowish (adj)	
gy^lXgC_sR	mallen	of gold (adj)	
rdbp1!34[8	malthen	of gold [metal] (adj)	
M7A}ntDu),	manadh	doom; fate; final bliss; final end; fortune (n)	
m97DJZCuS|	matha-	to feel; to handle; to stroke (vb)	
C&A-?TgznS	maur	gloom (n)	
w6fe_a0S7!	melch	greedy (adj)	
Gw*yl+:^26	meldir	friend [m.] (n)	
AmZn>{b8N	meldis	friend (f.) (n)	
C^{D06LHvb	melethril	lover (f.) (n)	
Nx_|lYD2*1	melethron	lover (m.) (n)	
x`vBR6c[X&	meleth; mîl	love (n)	
yR]Nwk[Vq(	ment; nass; till	point (n)	
uN|u.,X)%e	milui	friendly; kind; loving (adj)	
ul/VC,4hqS	mindon	isolated hill (especially a hill with a watchtower); tower (n)	
Mb}^lq^4ec	mista-	to stray about (vb)	
J|Z`:!q+,F	mistrad	error; straying (n)	
of_8:Ya{eT	mist	error; wandering (n)	
y%Ww6:j+:~	muda-	to labour; to toil; to *work (vb)	
P.L-TPyHCB	muin	dear (adj)	
n8O>phB:Po	mân	departed spirit (n)	
Lx(V$L(?qp	mîl	affection (n)	
bVgu|4s=vX	mîw	frail; small; tiny (adj)	
"IH>EKEGj#;"	mûl	slave; thrall (n)	
xsV@/LzhaK	nad	thing (n)	
Ad:(RlE[z;	naeg	pain (n)	
k;B8.;%T}%	naeth (Body Parts and Functions)	biting; gnashing of teeth (n)	
G?Ln}/r]aW	naew	jaw (n)	
w?Lc>%b%Ki	nae	alas (interj)	
oI6KS)hmxz	nag-	to bite (vb)	
v2X*Z|J77D	nana	mother (hypocoristic); *mommy (n)	
lj/Rj>0-Xg	nann	wide grassland (n)	
Eahz^5*Jg	narcha-; rista-	to rend (vb)	
"K/tJo62#HA"	nardh	knot (n)	
H%B3*&Sz7y	nartha-	to inflame; to kindle; to set fire to; to *ignite (vb)	
o]l<H^e00)	naru	[fiery] red (adj)	
n6]xP:bE7$	nass	(sharp) end; angle or corner (n)	
MbjpyLmMAD	nasta-	to point; to stick; to thrust (vb)	
n1^$1pDG=:	nathron	weaver; webster (n)	
A~KcFHu`H&	nath	web (n)	
[*Q.7&p;1	naud	bound (adj)	
J^)E-)CAI~	naur	fire; flame (n)	
s02T/5Mr*C	nautha-	to conceive (vb)	
p,%FdA!dUL	nauth	thought (n)	
m;,fXo|K,+	naw (n)	idea (n)	
md?qHUvUsu	ne-	in (pref)	
l[hVmU^<-e	nedh-	mid- (pref)	
z0_O<N!lLE	nel-	tri- (pref)	
n{V.&(5jHx	nella-	to sound (of bells); to *ring (vb)	
k&[j@5iqVj	nelladel	ringing of bells (n)	
htoIcvrXuG	nell	bell (n)	
qc|a[7NptL	nelthil	triangle (n)	
F>St)suZ]s	nem (n)	nose (n)	
n9FOu;*TXr	nesta-	to heal (vb)	
z}oBN[|G==	nestad	healing (n)	
g:oeg58wZq	nestag-	to insert; to stick in (vb)	
PIs2P=F9]u	ni	I (pron)	
tju-Qme._A	nifredil	(green) snowdrop; *(lit.) pale point (n)	
HaN:Lk@o?>	nimmid(a)-	to whiten (vb)	
fb9Y)R`|G9	niniel	tearful (adj)	
f+EC-ucJY<	nod-; taetha-	to tie (vb)	
O<ae[wz,a$	noen	sensible (adj)	
ExK1Om9YPa	nordh	cord (adj)	
oGXvDClX78	norn (adj)	contorted; crabbed; knotted; twisted (adj)	
gi>=W[5bHx	norn (n)	wheel (n)	
t+S!N~*,{c	noroth	giant (n)	
Pyyk}?s;Er	noss	clan; family; ‘house’ (n)	
A>G&qVIfij	nâr	rat (n)	
I:FD}F/[`+	nírnaeth	lamentation (n)	
r~~H}T5C^j	nîd	damp; tearful (adj)	
EM5ndEk$x+	nîf	face; front (n)	
vtu,a+pRe$	nîr	grief; sorrow (n)	
LQJb:$e^>2	nûr; tovn	deep (adj)	
"xfqC|#.ky{"	nûr	race (n)	
"DYP@B!P3N#"	odhril	parent (f.) (n)	
hdP1+4PFvg	odhron	parent (n)	
o<[!rQ?*b5	oll	mountain-stream; torrent (n)	
QxBr[OSDOr	oltha-	to dream (vb)	
L$B(3/TL{K	or	above (prep pref)	
fodN9&KSwh	or-	-day (pref)	
CDH+Zt.-z%	orthannen	raised (adj)	
g+`^E,Jdx9	orthel-	to roof; to screen above (vb)	
Q[-@FGplEV	orthelian	canopy (n)	
D&]M.gnnF+	orthor-	to conquer; to master (vb)	
"k7WDILl#V0"	os-	about (pref)	
dect)1CC{w	osgar-	to amputate; to cut round (vb)	
kCN_K=w(mW	osp	smoke (n)	
s%^20%S<^w	ovor	abundant (adj)	
xq]wy6mDlb	ovra-	to abound (vb)	
J-x3DfP*6V	ovras	crowd; heap (n)	
N_S`!6pY@c	palath	surface (n)	
x.n/+~(Y13	panas; talaf	floor (n)	
DFt-33n,|v	panna-	to arrange; to enlarge; to open; to order; to place; to put; to set; to settle; *to compose; to *expand (vb)	
iWE[AqpFXP	pannad(a)-	to fill (trans.) (vb)	
e~PUPKJLA7	pann	wide (adj)	
5Qhg?3[$z	parch	dry (adj)	
"D~%;h#jWp*"	parf	book (n)	
r$n(V:Nt/5	path	smooth (adj)	
Ek@[6Y>wa!	pathra-	to fill (intr.) (vb)	
x~mgC.0^:!	pathred	fullness (n)	
vU7+-$OCf_	paw	ailment; sickness; *illness (n)	
Cv+L?.6RL!	peg	dot; small spot (n)	
"ba4##&kwf!"	pelia-	to spread (vb)	
s0(3BKy|lF	pelthaes	pivot (n)	
bo?O@!5:CH	pendrath	passage up or down slope; stairway (n)	
tNQ&Xoa<0@	penia-	to fix; to set (vb)	
f<jkE%2p,c	penn	declivity (n)	
wB?|Gfk%;>	pent	story; tale (n)	
I(]vW?R%bN	perin	half (adj)	
