#separator:tab
#html:true
#guid column:1
#tags column:4
c+<k:Ye%i%	-(i)llo; -ilco; -stë	you (dual) (suf)	
vr4mz.AuC.	lassevinta	autumn; leaf fall; *(lit.) leaf blowing (n)	
j:rsMk@)Pn	lassëa	leafy; with leaves (adj)	
f&o6pU5@L-	lassë	leaf (n)	
Q/B-*@{--L	lasta-	to listen (vb)	
w1yqwVLKOf	las (adv)	it is/was not so (adv)	
fjLE}yjtt8	lat (latt-)	flap; lid; small hinged door (n)	
iX]l`G?:}(	latanca	insecure; unsure (adj)	
.!6UVbr$C	latina (Social Relations)	cleared (of land); free (of movement); not encumbered with obstacles; open (adj)	
nAz;8aRrD9	latsë	area; room; space (n)	
u:}%$Y1.k@	lattasta	harness; (lit.) collection of straps (n)	
t%LjT6G^,1	latter-	to darn a sewn garment; (lit.) to cross/over-sew (vb)	
h-Q7tMY|K>	latucenda	of tin (adj)	
OjNMXr<wRU	latya-	to open anything (so as to allow entry) (vb)	
LF.b{P[Y&T	latya; pantië	opening (n)	
"II?>}m31#$"	latúcen	tin [metal] (n)	
n3oJfYL;:S	laucata-	to heat up; to warm (vb)	
ea>$<91nGj	laucehtelë	hot spring (n)	
rKq)[$Xo}<	laulema	inhabiting (adj)	
F,[-];:%lW	laulemo	inhabitant (n)	
yq(~a}-Qw4	laulesta-	to gain a living; to lead a life (vb)	
BbNE8aDC>2	laulesta	livelihood (n)	
"z$!N#:w5l/"	laulë	mode of life; *lifestyle (n)	
ia,xvUqKy<	laupë	shirt; tunic (n)	
ylTlpF-iOX	laurinquë	yellow-flowered tree (n)	
"m6n6c2Bz#B"	laurië	goldenness; like gold (n adv)	
f_~^qKsjJg	laurëa	golden (of hue) (adj)	
jxXl^bN2>p	laurë	gold (light or colour) (n)	
lX,[Q]]W1<	lauya-	to flourish (green); to grow (vb)	
"bkx31B#)Wn"	lav- (Body Parts and Functions)	to lick (vb)	
kxG0m1r32V	lehta	free; released (adj)	
DV]M6XsD}$	lelta-	to send; to *(lit.) cause to go (vb)	
vY{..:Lw|J	lelya- (Emotion)	to appear (of beautiful things); to attract; to enchant (with dative) (vb)	
e7XdowT!,8	lelya- (Motion and Transportation)	to go; to proceed (in any direction); to travel (vb)	
uduNTt/|0z	lelyalávë	ticket; (lit.) travel-permission (n)	
i.@vlOPYa2	lelya	beautiful and fine; delicate; lovely; slender (adj)	
PiTF*0M$He	lemma	artifact; relic; residue (n)	
yu6:V`Q,gZ	lemmë	remainders; remains; remnant(s) (n)	
i3T|b4)A$z	lempellumë	five times (adv)	
e:$(U}jE*I	lenca	slow (adj)	
"QT#K.<|&G,"	lenda	journey; trip; *travel (n)	
NBM_7VKh&5	lendië	tourism; *traveling (n)	
NMv2S0+50i	lenga-	to behave (vb)	
ysJ7GO)J];	lengalë	behavior (n)	
wD(q2`!IIb	lengesta	character (of a person); set of characteristic traits (n)	
h-JRt-eO`V	lengë	characteristic look; gesture; gesture or trait (n)	
b*;N|LP0*/	lenweta-	to go away; to leave one’s abode; to migrate (vb)	
"J*m0,!-OB#"	lenwë	departure; leaving (n)	
lpR^b(0!Oi	lenya	yours (plural) (pron)	
dss@45{T@b	lep-	to pluck; to take [with fingers]; to *pick (vb)	
"Q#}j59*}q7"	lependórë	quintillion (cardinal)	
iO`[M`*z6b	lepenquëa	fifteenth (ordinal)	
y1Cd(~oC~A	lepetta	Gondorian hardwood (n)	
"hFg#^$?8`n"	leppa	thimble (n)	
f={S@?urh:	lepsa	liver (n)	
O-X[=%?!nu	lepsilë (lepsily-)	tendril (n)	
oE)7w{J$M_	lepta-	to feel with the fingertips; to finger; to pick (up/out) (vb)	
"Ok}j-CM#W^"	leptafinya	clever-fingered (adj)	
hZdfi+-S=X	lepta (adj n)	fingered (adj n)	
"JP[(?K$Le#"	leptenta-	to indicate with finger; *to point to (vb)	
c}?w?3t4,y	lerca-	to flee (vb)	
y4nXabY^1<	lercië	fleeing; flight (n)	
j?=i-62$c@	lerina	free (of things) (adj)	
mC)h&DP28D	lerta-	to be free to do (vb)	
vs3gqQ5fv7	lerya-	to let go; to release; to set free (vb)	
p&BB=)l|J8	leryalë	release (n)	
l:MjM,w;[P	lesta-	to measure (vb)	
JPV7Lpv-@0	lesta	*girdle (n)	
D,21wvHx!1	letinwessë	constellation (n)	
G,~g=Vu/sT	leuca	snake (n)	
J5iNuTijJ5	levë	motion; movement (n)	
IsPRIeVA_G	li(n)-; linin-	many (pref)	
Pe+Z<,ruP3	lia-	to entwine (vb)	
GD!6sm=l5%	lialóra	cordless; wireless (adj)	
n[^&ka!0Qi	liantassë	vine (n)	
v?RPqoenc{	lic-	to glide; to slide; to slip (vb)	
P*?QwuE+0V	liëndina	popular (adj)	
CrpYp0<ZGD	liëraxa	a bus; coach; (lit.) people wagon (n)	
C$+8h~6mnB	liëtarwa	park; (lit.) people-garden (n)	
c,3=d%hzJ_	liëtúrië	democracy (n)	
new[y+,1i(	lihta-	to seal (vb)	
phwwi%f(4m	lihtaina	sealed (adj)	
k-;N)Pk_I0	lihta	seal (n)	
v$C_Yn3[ym	lillassëa	having many leaves (adj)	
beF2]1l-w:	lillumë	many times; often (adv)	
N0>WR3-,fN	lilma	patch (n)	
daIvP!@cCR	liltië	dancing (n)	
"C$H2-jP~#A"	liltë	dance (n)	
uedEQf*L?X	lilíva-	to (continuously) drip; to drip-drop (vb)	
NQ42tcrjx1	lilómëa	full of darkness; many-shadowed; very dark (adj)	
Ffd3dmsK=y	lilótëa	having many flowers (adj)	
JflM0Diae;	limpa	frail; slender and drooping (adj)	
NwXQ%&sh>Z	limpevorma	wine-press (n)	
oUa3txn*5_	limpunqua	drunken (adj)	
Q_0uOS{R:Y	limpunquië	drunkenness (n)	
l6G3)bj*TH	limya-	to join; to link (vb)	
hCi?*?{TN&	limë (limi-)	link; *joint (n)	
o/rnbixnj~	lincantilda	checkered; (lit.) many-squared (adj)	
iOWhVHJ=>w	lincantëa	diverse; (lit.) many shaped (adj)	
p(M-4hNG}c	linda-	to make music; *to sing (vb)	
"D`r{#*rZhq"	lindalëa	melodious (adj)	
dHG%y9fbP-	lindalë	music (n)	
gL)mUz{O:G	linda	beautiful (of sound); fair; gentle; kind; melodious; soft; sweet (adj)	
qH}]ry`G][	lindelin	melody; tune (n)	
hR,uoE}E?f	lindelos (lindelós-) [þ]	laburnum; (lit.) singing cluster (n)	
C9}`?|AK)6	lindimaitar	composer; musician (n)	
KusSAl}Tq<	lindista	music album (n)	
f[iOa@p!HC	lindë (lindi-)	air; musical sound; singing; song; tune (n)	
v8XR>g/t=M	lindëa	like music; *musical (adj)	
e-/]Q!_/>f	lindóra	many millions; millions of (adv)	
D*5*3C@+!D	lingil	hanger; hook (for clothes) (n)	
BTzo.Q4SWp	lingwileuca	eel (n)	
l5X1-c+z<a	lingwimo	fisherman (n)	
yqL*{Z^n0M	lingwiremnë	fishing (n)	
LGqo%z1tC<	lingwë (lingwi-)	fish (n)	
qFpXbQTeiD	lingwëa	fishlike (adj)	
Lmp{HykEa;	lingëa	with a musical sound (adj)	
"d|#KCVt/)("	lingë	musical sound (n)	
u&*.$L+/np	linima (adj)	manifold; of many kinds (adj)	
J?Hw8]wgWD	linipsinwa	complex; complicated; convoluted; (lit.) many-threaded (adj)	
H`E*wugy^T	linipsinwië	complexity; complicatedness; complication; (lit.) many-threadedness (n)	
fsuR70UijL	linitë	plural (adj)	
x;LmE?T*b=	linquemir	hyacinth [jewel] (n)	
c3CQemK/HS	linquilëa	having many colours (adj)	
w$$LQTCVQx	linquë (n adj)	light-substance; liquid light; *photons (n adj)	
t9=L,SyY9@	linquë (n)	(leaf of a) hyacinth; *grass or grass-like leaf (n)	
QdK!13&zqE	linta-	to soothe (vb)	
i:aNWcA19p	lintië	speed; swiftly; swiftness; *quickly (n adv)	
xq[[OXBv([	linvainëa	onion; (lit.) many-sheathed (n)	
HNK1~P/vh0	linwa	device for making music; musical instrument (n)	
c^LBcfO6*U	lio	much (adv)	
gBU6!/QOg5	lipsanë	lather (n)	
Ku-iQ1Hfjt	lipta-	to drip (vb)	
"x>#Alqa9aG"	liptasar (liptasarn-)	dripstone (n)	
FN|NCv,jhK	liquis (liquist-)	clarity; limpidity; transparence (n)	
tmtXQ/BXhv	liquistëa	transparent; *clear (adj)	
xpa487w=8x	lir-	to chant; to sing (vb)	
d.+:I>)k>P	liralë	merry singing (n)	
g=m][c`eJP	liru-	to sing (gaily) (vb)	
"dIQD9Q#Lag"	lirusta	chant; singing (n)	
U?bRVr!3W	liscornë	any sweet fried bread; doughnut (n)	
,SPY2%Z]j	lisselë	sweetness (n)	
z@&={a)[5]	lissimat (lissimatt-)	dessert; (lit.) sweet-meal (n)	
Q9p5-[)(jU	lissimatta	piece of confectionary; sweet (n)	
Cq]@F9`+3(	lissimbas (lissimbass-)	(sweet) cake (eaten as dessert) (n)	
wwg!&*fx0s	lissë (lissi-); melda	sweet (adj)	
O3M$LNID/E	lissë	grace (n)	
eBX?!)eD2J	lista-	to make sweet; to sweeten (vb)	
EYp40hkRgX	lita-	to multiply (vb)	
dJ-Fe:1sIj	litsëa	granular; gritty; sandy (adj)	
PnrvSoL5g}	litsëon (litsëond-)	sandstone (n)	
"nD>17Ud^#{"	littë	ash (n)	
B+)B`ys)]c	liyúmë; rimbë	host (n)	
A,eP$5s,6]	liëarda	republic (n)	
Me|<HPx,H7	liëmelehtëa	democratic (adj)	
uhY090;(*i	loc-	to curl; to loop (vb)	
O?Uuv1.FyJ	locin	bent; *curled (adj)	
d,;$.6NR~;	loi-	mistake in ...; mistaken (pref)	
"b{#8JVOIge"	loicarë	mistaken action (n)	
zeWEDv7s)1	loica	failing; inadequate; short (adj)	
"y5F#%Bia.Z"	loicolícuma	corpse-candle (n)	
ozJXffHD?l	loico	corpse; dead body (n)	
AbmpV^Xr?G	loima	mistake (n)	
c.r}m]3gjn	loiparë	mistake in writing (n)	
HiGEk.qIO*	loiquetë	mistake in speech (n)	
y1@I/Uln)>	lolóca-; tixa-	to crawl (vb)	
"pyafflv0w#"	lomba	blind (adj)	
hI5-uw;v3H	lomentië	departure; ?away-journey (n)	
f)-f-;v@^+	hopassë; londië	harbourage (n)	
mVnUI72y]|	londë	(land-locked) haven; entrance to harbour; fairway; gulf; road (in sea) (n)	
"Q}PU[M#Gym"	lop-	to gallop; to run (of animals); to *lope (vb)	
eC|*w0<0x1	lopoldë	rabbit (n)	
HVW[JU@w>k	lorda	drowsy; slumbrous; *sleepy (adj)	
vpUy2oZ_xo	lornata-	to put to sleep (vb)	
b-0IBgKq<>	lornatála	sleep-inducing (adj)	
F^eXaO2b2h	lorta-	to become dazed; to faint; to swoon (vb)	
zz9o_U)>z3	lortalë	dizziness; faint; swoon (n)	
N.EUuXDYj6	loru-	to fall asleep (vb)	
d;uiP32Vbc	lossë (n adj)	fallen snow; snow; snow-white; snowy (n adj)	
o[zyePmYIF	lossë (n)	(white) blossom; (white) flower; inflorescence (of white flowers) (n)	
GIL|4h[YA0	lossëa	(snow) white; snowy (adj)	
OTiSQuZtU{	losta-	to bloom; to *blossom (vb)	
dV$YZP2~:F	lotarwa	[flower] garden (n)	
q;jd2l6`E@	lotella	floret (n)	
zys~1{=(24	lotsë	small (single) flower (n)	
yjUi@`O)dJ	lottë	small flower (n)	
"h#GSPuKVO*"	loxor	bog; swamp (n)	
f_-$xxBRbX	loxo	mud (n)	
Hsj)[>p=yF	loëndë	mid-year (Númenórean calendar); *(lit.) year-middle (n)	
z@$Z?[PN(F	luc-	to drag; to haul; to pull (behind) (vb)	
f7zAAW?F5s	luhta- (Physical Acts and Materials)	to bow; to *curve (vb)	
Lav_FO$++O	luhtu	magic; spell (n)	
v@M%l@7YOd	luhtya-	to extinguish; to *quench (vb)	
Nc_N@CUgF;	luicarnë	purple (adj)	
n%1b0B7XZ9	luilë	blue stone; sapphire (n)	
NZkJ>G|nh%	luimë	flood; flood tide; floodwater; high tide (n)	
nTlfDwgEs0	luinincë (luininci-)	bluish (adj)	
FgH$1+L?@_	luinion (luiniond-)	lapis lazuli; (lit.) blue-rock (n)	
"z3lWn0f#_O"	luinyellë	bluebell (n)	
vfM!:Y>qR(	luinë (luini-)	blue (adj)	
D8p9`$m_{]	luita-	to drench; to flood (vb)	
"CNQ/JT^B#f"	luitë	melancholic; (lit.) habitually being sad (adj)	
"y#p2l1Z!.*"	lumba; morna; ulca	gloomy (adj)	
i*rmWdnB3D	lumbo	cloud; dark; dark lowering cloud; gloom; shade (n)	
oRRUteAK^0	lumbulë	dark shadow; deep in shadow; heavy shadow (n)	
p`c,{:>:DZ	lungië	gravity; heaviness (n)	
Bh-1Do~9Gc	lungo (lungu-)	heavy (adj)	
Pg1(nXY*B`	lungumaitë	heavy-handed (adj)	
"N6up_(9aI#"	lungumë	heaviness; weight (n)	
"C>-cT|Uc:#"	lunguntë	scales (n)	
J{l?W%!t<r	lungwë	pound (n)	
huz*;9&fQ6	luntë	boat (n)	
Ou^hTLGs/B	lunwa	fin; (lit.) swim-thing (n)	
itKH*{MhH`	luppo (luppu-)	clumsy piece or lump (n)	
J-eY$GSN[%	lupsë (lupsi-)	(small) chunk; clump; nugget; tidbit (n)	
uFcRXm3&-Z	lurwë; umbë	threat (n)	
NZMQLd=U~u	lussë	(verb) tense (n)	
wj=(/@/HU}	lustindo	ennui (n)	
ukMwn].C6f	lut-	to float; to flow [on or in water]; to sail; to *swim (vb)	
O[Lqg7Eh4y	luttalan (luttalam-)	raft; (lit.) floating platform (n)	
sHk/q~Pa.v	lyenya	yours (polite) (pron)	
O=ugqjC2/:	lyë	you (polite) (pron)	
c+6h*Z@i@8	lyéta-	to address somebody formally using lye (vb)	
Cx>rt8nN(	lá (adv)	no; not (adv)	
jKx*:><!l(	lá (prep)	across; athwart; over (prep)	
J+{xSO)]3g	lá-; ui-	to not be (vb)	
MjizI]I7l}	lámatyávë	*sound-taste (n)	
w^f_c1qpqs	láma	echo; ringing sound; sound (n)	
cA!bB(6H%F	láquet-	to deny (fact or accusation); (lit.) to say ‘it is not’ (vb)	
"d(A+Ybg##3"	lára-	to flatten; to level (vb)	
"Iz1JI0eV#O"	lár	league (n)	
yUEP(57W-8	látacar (látacard-)	pub; public house; (lit.) open-house (n)	
q=FSkS^FQS	láta	open (not closed) (adj)	
w2r<l+Kp;x	látië	openness (n)	
caa=cj4Bf9	lávehentar	ticket inspector; (lit.) permission examiner (n)	
c|k/:&>W}B	lávima	permissible (adj)	
Ot8HX!v!3@	lávëar	glutton (n)	
GrkhYQX9R0	lé	manner; method; way (n)	
p9hDdstp~!	léramo	freeman (n)	
PLw{>xFJyp	léra	free (of persons) (adj)	
"k?hocrL#if"	lérië	freedom (n)	
dh3@Gcw-9{	líco (lícu-)	wax (n)	
JL~h:+Yo5a	lícuma	candle; taper (n)	
s;2%Z8IsPp	lírë (líri-)	song (n)	
F*OcM9cY?W	lís (liss-)	honey; sweetener; *sugar (n)	
sicHG`/+oM	lócë (Body Parts and Functions)	bend; bight; curl of hair (n)	
uDh%uRVKJ>	lómaril	jade (n)	
Oq[)2;q|L^	lóma	moss (n)	
ERA?_?f(3P	lómelindë	nightingale; (lit.) dusk-singer (n)	
v&TUny)7wi	lómivehtë	night life (n)	
yn]*V,JlP*	lómëa	gloomy; shadowed; *dusk-like (adj)	
BT%~r1^U(i	lómë	darkness; dimness; dusk; night; night-time; shades of night; twilight (n)	
n}qt8_K,}Q	lón(ë)	deep pool; river-feeding well (n)	
jmU?(`$7*5	lóna	(deep) pool; mere; river-feeding well (n)	
i&~~tr`j(}	lónë	island; isle; remote land difficult to reach (n)	
bi:TK2+,X`	lórelot	poppy; *(lit.) flower of sleep (n)	
z{!D8o7s`%	lórë	dream; slumber; *sleep (n)	
"ce{zp#mZ5{"	lótelas (lótelass-)	petal; (lit.) flower-leaf (n)	
"g0J#@bynr"	lótëa	flowering; full of blossom; *blooming (adj)	
o&@h3SoB.3	lótë	(large single) flower; single blossom (n)	
LK`1Nw{E4?	lóya-	to leave (from something: a place, a thing) (vb)	
C/K%-S&i7.	ló	(away) from; ablative element; by agent [of] (prep)	
JG:pH`f]ko	löasta	season; (lit.) year-part (n)	
"yN,4amf#`Y"	löa	(seasonal) year; blooming; (lit.) (time of) growth (n)	
DA3apKHO8m	lú(n)	*deep pool (n)	
kEwLfSn7*O	lúcëarwa	attractive; enchanting (adj)	
x!@TNrYB/a	lúma	clock (n)	
jG~]Obe7;1	lúmequentalëa	historical (adj)	
i)[]xsV(pj	lúmincë	minute; moment (n)	
cnYM$?mKB1	lúmë; mornië	darkness (n)	
h5;`m]/e8G	lúmë	hour; period of time; time (n)	
CLj~eVe[)N	lúmëa	pertaining to time; temporal (adj)	
J1Bi*wOT};	lúna; morna; morë (mori-); nulla; nurno; núla [ñ-]; ulca	*dark (adj)	
phRV@}>L*r	lúrëa	dark [of weather]; overcast (adj)	
"dqI#F5LP^e"	lúrë	bad weather; dark weather (n)	
M:/obw[iKU	lúta-	to have time pass (vb)	
E^(2!+sfEA	lúva	bend; bight; bow (in forming tengwar); curve (n)	
dKtlpLcZ-y	ma (adv)	interrogative particle (adv)	
z%0;:[_qoc	ma (pron)	a thing; something (pron)	
E+Z:m;%4ME	mac-	to hew (with a sword); to *swing (a sword) (vb)	
NaCt}csf=q	maca-	to forge (vb)	
Lbb`/V-hU7	macar	swordsman (n)	
"b1%o>#Elsn"	macca	article (for exchange); thing; ware (n)	
ctkm:oi`=2	macilindil	gladiolus; (lit.) sword lily (n)	
I1$uxTCbbg	macil	broadsword; cutting sword; forged sword blade; sword (n)	
N[.QOtR=2I	arcanwa; mahalma; tarhanwa	throne (n)	
D?:7BNT$,F	mahta-	to control; to deal with; to feel; to fight; to handle; to make use of; to manage; to stroke; to treat; to use; to wield; to wield a weapon (vb)	
Ln?zp(H%8i	mahtalë	battle; fighting (n)	
K]ZbCxW`U_	mahtando	manager (n)	
PZB88j`oR(	mahtië	*handling (n)	
C,F+QVg{>Z	mahtéma	tournament; tourney; (lit.) battle-series (n)	
dzBhCce=S=	mahtë	grip; hold; possession; power [over]; *grasp (n)	
CI==IE*SgL	mai-	admirable; excellent; happily; *well (pref)	
Obe&0?LU1%	maica (adj)	piercing; sharp (adj)	
rRGLTcvvO-	maica (n)	blade of a cutting tool or weapon (especially sword-blade) (n)	
l@%0??5J(=	maicarindo	benefactor; (lit.) well-doer (n)	
NwX[}pnji>	maicatan (maicatam-)	weaponsmith (n)	
M<y2?Pvk>R	mailengaitë	well-mannered (adj)	
QcJAvaBU_G	mailitya	(greedily) wealthy; avaricious (adj)	
wC$!}4sX?F	maimun	ape; monkey (n)	
t<XeSeNVjD	maina	thing of excellence; treasure (n)	
dhHV<,o`DA	mainenta-	to brag; (lit.) to make seem excellent (vb)	
wQ}x@^+mn;	maira	admirable; excellent; precious; splendid; sublime (adj)	
"Juo$xF,#7g"	mairia	beautiful (of things made by art) (adj)	
DyiaLUhf5g	mairië	excellence; splendor; sublimity; ‘perfection’ (n)	
H@ob@OJ7HQ	mairëa	beautiful (of things made by art); *artistic (adj)	
"M+#1p|+qN+"	mairë	art; process of producing an art work; work of high and beautiful art (n)	
"vska3<B#M!"	maisinwa	famous; notable; well-known (adj)	
f}v?Ub3EZ8	maita-	to compose; to design; to make with art (vb)	
uZ!{;a1SjL	maitalë	act of doing [artistic] work (n)	
Ln[>mXy9-8	maitar	artist (n)	
C1Z,.gtw~C	maitilë	handicraft; legerdemain; sleight (n)	
"Q&ouP$#E$$"	maitulië	happy arrival; welcome thing (n)	
JX6=b<;7}Z	maitë (maiti-)	(as suffix) having a hand; handed; handy; skilled; skillful; well-shaped (adj)	
rcp0)^91,z	maiwë	gull (n)	
l93-]}^nBw	mai	well (adv)	
hVc}X{+B>U	mal-	to crush; to hurt; to pain (cause pain to); to squeeze (vb)	
C.7yV}ern}	malaqua	soft; tender (of meat, substances, etc.); yielding (adj)	
kzI!(5sGA`	malatsar (malatsarn-)	chrysolite (n)	
t<VC8tx~HJ	malda	mash; mush; paste; pulp (n)	
"AF=t^|?{#]"	malda-	to pound (vb)	
BmrhiQ_UnM	maldornë	golden/yellow tree (n)	
u`VHCF&A%N	malicon (malicond-)	amber (n)	
l?Gd(Em.OF	malicondëa	of amber (adj)	
CYq3t^ramv	malinornë	mallorn; (lit.) golden/yellow tree (n)	
iSATNnT*e^	malma	lemon (n)	
z<@9L+%?7{	malo	moth (n)	
Hp/C$Y]E[^	maltaina	of gold (adj)	
kBiPRQ5Sbm	maltalos [þ]	buttercup (lit.) flower of gold (n)	
PBho5qKILl	malta	gold (as metal); gold (metal); gold as material (n)	
kK!m7&rzt*	malumë; manan	when (adv)	
pXvjfe,]>5	mammata-	to devour; to gobble up; to gorge (oneself); (lit.) to go on eating (vb)	
c+(|vZsp?,	manaitë	having grace (adj)	
AKoGltR05e	manan; maro	why (adv)	
be!Jptt`5_	mancanómë	market; market-place (n)	
r{M1~sU^g6	manco	tradesman (n)	
k]PX&rZPv$	manda-	to imprison (vb)	
zS,E<c9+>U	mandanië	struggle; wrestling; (lit.) hand-resistance (n)	
mDEd_<WO+T	mandano	prisoner; (lit.) imprisoned-one (n)	
M+7`9z2rtF	mandontur	jailer (n)	
EnUwH}dl%e	mando	custody; duress; prison; safe keeping (n)	
P`]@8tIwqF	manen	how (adv)	
KP-K+~[s6J	manotë	how many; (lit.) what number (adv)	
Oq4N%]>~K+	mantal	glove (n)	
HK/7!ntJ6k	mantelë	gauntlet (n)	
xM1=ga~90)	manwa; yava; yeva	whose (adj)	
hxHN-1Z4b$	manya	butter (n)	
AyNnCEp-[E	mapalin	plane tree [Platinus]; sycamore; (lit.) hand-flat (n)	
"p#fm>w7K#}"	maptalë	forcible seizure and carrying off; rape; ravishment; robbery by violence; seizure (n)	
GMnKN@Y.FB	maqua	group of five (similar) things; hand (colloquial); hand-full (n)	
iuyNH6+LBg	maquet-	*to question (vb)	
o9_SV8N@j1	maquetta	question (n)	
7BX3dgB*~	mar(da) (mard-)	(great) house; a thing or place dwelt in; dwelling; mansion; residence (n)	
d)VSqix~A.	mardaitë	domestic; homely (adj)	
kp1??gxPvl	mardo	dweller (n)	
?B7?HrxFb	marindo	settler (n)	
nFe^&D0;Dm	marrum-	to move = change residence (vb)	
jM8-h3CIrJ	marto	fate; fortune; lot; luck (n)	
Fk>BwjVET.	marto; taras; tarminas; tirion	tower (n)	
Qc1[!@_6!k	marya-	to establish; to found; to settle (as dwelling) (vb)	
D;<Z+LUro.	maryë	at home; *indoors (adv)	
q*H[q0F{@F	nótengolmë	mathematics (n)	
d(?@SH*AD}	massánië	Lady; breadgiver (n)	
"t&c&qJ>#WB"	mastacornë	[bread] loaf (n)	
u+I_tKBnjR	mastasan (mastasamb-) [þ]	kitchen (n)	
bP~dq?nB5t	masta	cake; *baked good (n)	
o|m:^?{WcS	mat-	to eat (vb)	
AD9^V7vVQZ	matimar (matimard-)	restaurant; (lit.) eating hall (n)	
uC,pNo09O{	matina	eaten (adj)	
"tqBe{MCV9#"	matta; nes (nest-)	food (n)	
K^5sU))4iS	matya-; nesta-	to feed (vb)	
D4HJAb&uoB	maura-	to need; to require (vb)	
p.5;|XPreI	mavaina	maple; (lit.) hand-clad (n)	
jL+YmbXiu*	maxa-	to cook (vb)	
"p?^0#C8x)!"	maxarma	software (n)	
s7[gaH2dkN	maxar	cook (n)	
h7Q!u+kDID	maxata-	to knead (vb)	
"i|#{kCr*2n"	maxon (maxond-)	mudstone (n)	
h)%x9coBFD	maxo	mire; sticky substance (n)	
LwO$al9U@O	maxë (Possession and Trade)	sale (n)	
qk_{W|ZGE!	mec-	to plead (vb)	
v;=0g3D69o	mecin	please (adv)	
h*OX3Cj}y1	mehar; nehtë	gore (n)	
r8ty/YMTZ:	mehta-	to aim at (vb)	
i1y9B-Gu7L	mehtë	aim; mark; object (n)	
IQd_j5tT>A	mel-	to love (as friend) (vb)	
sK2]J/;IUy	meldo	friend; lover (n)	
pMY1X.R$Vh	meldë; nildë; sermë	*friend (f.) (n)	
qmDNtgq)9O	melehtë	might; power (inherent) (n)	
"z.^2NdJI3#"	meletya-	to magnify (vb)	
mK&}S^sUL!	melima	fair; loveable (adj)	
I;ChK&UNBY	melinólë	philosophy (n)	
"O(#2S8UWT>"	mellaman (mellamn-)	pet; (lit.) love-animal (n)	
n2bbHRQei)	melmë	love (a particular case [between two people]) (n)	
emqQNQNT.n	melotorno	love-brother (n)	
zVOXEkQ[rS	melpo	gooseberry (n)	
HrKI8FR=yi	melta-	to enamour (vb)	
sFmfeO{^*f	melu-	to fall in love (vb)	
CKe:j,9g5R	lis (liss-); nehtë	honey (n)	
i/@gH0G&_	melya-	*to be in love (vb)	
"B}:Op#%eG)"	men-	to arrive [+ locative]; to come [when moving to a destination]; to go; to move (in some direction); to proceed (vb)	
i]AcWUKxy=	mendar (mendár-)	station; (lit.) way-stop (n)	
L3QULOWPAq	mendë; selma [þ]	will (n)	
Ha2M2E[d=P	meneldil	astronomer; *(lit.) lover of the heavens (n)	
nhzC[V@Nw~	menelluin	cornflower (colour); *(lit.) sky-blue (n)	
xoHS.rx/KK	menelwa	heavenly (adj)	
j&I)D}Vpb.	menel	firmament; the heavens (n)	
c.GJl9,yRV	mínasta	intention; *goal (n)	
x;b;D,+Wx&	menta-	to cause to go (in a desired direction); to send (vb)	
j3Ltu-<!b7	menta	message; sending (n)	
B13Qb>z.`%	mentië	direction of travel; journey; passage (n)	
MPx`RPPaYx	menya	our (exclusive); ours (pron)	
GAlFX4.x/z	mer-	to desire; to want; to wish (vb)	
"dV-#cTHtJ:"	merenya-	to be festive; to celebrate (vb)	
CbQ~V1yYNA	merillë	rose (n)	
i0xg&oQTY(	mermë	wish (n)	
n7XGkZ*XjO	mestanyatsë	suffixion (n)	
kgFWnNy$>Y	metta	end; ending (n)	
D<m}/lo<N`	micol-	to import (vb)	
tNaAcgOm)6	mildë (mildi-)	pea (n)	
yeKg/jn-0~	milla	oily (adj)	
hVjW`ifT2K	millo (millu-)	oil (n)	
,N:XRUK72	milpialda	olive tree (n)	
k=!(&4kU|x	milpio	olive; (lit.) oily-berry (n)	
DLp[p,tF!c	miltë (milti-)	semen (n)	
s3W{*<t<??	minassëa	inherent; innate; intrinsic (adj)	
Arw1A%pUG5	minassë	city (with a citadel and central watch tower); fort (n)	
QI:NdePI52	minasurindo [þ]	researcher (n)	
bMlX67+Q&S	minatec-	to record; (lit.) to into-write (vb)	
J-ErQASk{t	minaxanwa	bound; enchained; fettered (adj)	
m[M}<D5ugU	mina	in; into; to the inside (prep adv)	
NIS>9Hl^%P	minasurië [þ]	enquiry; *research (n)	
d<iKtD~+fY	mindon	(isolated) tower; (lofty or isolated) tower (n)	
OYXxWxDSSc	mindon; mindë	turret (n)	
x(3^($;M3n	mindórë	million (cardinal)	
]RMfiF~!1	minima	special (positive) (adj)	
m00u1?w&hN	minomë	in exchange of; in place of; instead (adv)	
tu+~)MHw{!	minquellumë	eleven times (adv)	
L>FDHk$MXP	minquesta	*one eleventh (fraction)	
m+eyX86h^E	minquetyar-	to accentuate; (lit.) to pronounce prominently (vb)	
uOPLOnwdot	minquetyarmë	accentuation (n)	
Ij][(.C8Zm	minquë	eleven (cardinal)	
K.DTw?f?UE	minul(da)	ingot (n)	
m!H2Ax<{o>	minya (ordinal adj)	eminent; first; prominent (ordinal adj)	
KZ$<jdQ`^F	min	one (in a series); the first (cardinal)	
HmR`V8&7F5	miqu-	to kiss (vb)	
xW^[lU]R^<	miquelis (miqueliss-)	(soft, sweet) kiss (n)	
Dg8,_2.!G+	miquelë	kissing (n)	
ch3BS=wB16	miquë	kiss (n)	
t$9&}sph{|	mirmairë	jewelry; (lit.) jewel-art (n)	
ve_4}>4Ou|	mirma	value; *price (n)	
