(a)moth|fen; marsh (n)
tudh|tinder (n)
tufrin|fluffy (adj)
tuf|down; fluff (n)
tuia-|to spring; to sprout; to swell (vb)
tuig|sapling; shoot; sprout (n)
tuilas|petal; (lit.) bud-leaf (n)
tuilinn|swallow; (lit.) spring-singer (n)
tuilu-|to bud; to open (of flowers and leaves) (vb)
tui|bud; sprout (n)
tulog|firm; steady (adj)
tultha-|to carry (vb)
tulus|poplar-tree (n)
tulu|prop; support (n)
tum(b)|flat vale (n)
tump (Dwelling and Furniture)|shed (n)
tump (Physical World)|hump (n)
tum|(deep) valley; vale (n)
tunc|arrival; chance; hit at shooting; luck; occurrence (n)
tundeb; tunneb; tunnen|full of holes; riddles (adj)
tund|*firewood; fuel; hill; log for the fire (n)
tur-|to can; to have power to (vb)
turinthir|*queen (n)
tuthlos|a teazle (n)
tâd|two (cardinal)
tâl|(lower) end; [lower] end; foot (n)
tân|artificer; builder; wright (n)
tê|line; mark; track (n)
tírad(a)-|rectify; straighten; to correct (n)
tírad|seeing; vision (n)
tî (adj n)|line; straight (adj n)
tîf|bitterness; ill feeling; resentment (n)
tîl|cicatrice; healing of a wound; scab (n)
tîn (adj)|quiet; silent (adj)
tîr (adj n)|esteem; honest (aj.); honour; regard; upright; †straight (adj n)
tîr (adj)|esteem; honest; honour; regard; right; straight (adj)
tîr (n)|king (n)
tôdhi|paddock (n)
tôg|floor (of a house); storey (n)
tô|fleece; wool (n)
túgomui|corpulent; (lit.) having a fat belly (adj)
túgom|fat-bellied (adj)
túliel|arrived; come (adj)
tûg|fat; thick (adj)
tûm|valley (n)
tûr (Body Parts and Functions)|power (n)
tûr (Social Relations)|mastery; power [over others]; victory (n)
tûr (Warfare and Hunting)|mastery; victory (n)
tûs-|to comb out; to tease wool (vb)
tû|muscle; physical strength; sinew; vigour (n)
tŷg|thigh (n)
u(r)dhrog|without slaves (adj)
u(r)ngúl|without wisdom (adj)
u(r)vrog|horseless (adj)
u-|negative prefix (pref)
uanui|monstrous (adj)
ubed|denial (n)
uchirin|secure (adj)
uchirthol|reckless (adj)
uchir|carelessness; recklessness (n)
uchuil; urguil|lifeless (adj)
udrug|intractable; untamed (adj)
ufedhron|lawless man (n)
ufedhwed|lawless (adj)
ufeth|without a word (adj)
uf|down; fine wool (n)
ug-|to negative verb (vb)
ugwedriol|awful; ineffable; unspeakable (adj)
ui (adv)|ever (adv)
ui (n)|envelope (n)
ui-|twi- (pref)
uial|evendim; twilight (n)
uil-|to rain (vb)
uilos|white flower like a star (n)
uir (adj)|*fiery (adj)
uir (n)|eternity (n)
uir-|to mean not to; to not mean to; to not to wish (vb)
uirol|unwilling (adj)
uista-|to not to notice (vb)
uitha-|to smoke (trans.) (vb)
ul-|*ugly (pref)
ulcrum|sin (n)
uluchnir; ulugwin|she-dragon (n)
uluithiad|unquenchable (adj)
ulunn; úan|monster (n)
ulunn|deformed and hideous creature (n)
ulvon|*monster (n)
um; umin|we (pron)
umboth|nightfall (n)
umli|a dell (n)
ummast|without bread (adj)
unath; unt|nothing (n)
unathriol|impossible; unreal (adj)
unaudrathrol|shameless; unabashed (adj)
unc|ourselves (pron)
ungathos; unthos|eighteen (n)
ungorod|without a chief (adj)
ungra|eighth (adj)
unnor|without a land (adj)
urbeth|wordless (adj)
urdhuilin|without swallows (adj)
urduf|humorless (adj)
urfuin|nightless (adj)
urgeleb|without silver (adj)
urhonn|heartless (adj)
urnor|landless (adj)
urnui|inflammable; irritable; touchy (adj)
urorod|without chief (adj)
urrost|never coming to life (adj)
urtha-|to devise; to fashion; to make; to work; to wreak (vb)
urug|bogey (n)
uru|brazier; grate (n)
usta-|to depart; to leave (vb)
uthairiol|unintended; unintentional (adj)
uthir|without a king (adj)
uthwen|escape; exit; way out (n)
uvan|*noone; nobody (pron)
uvlant|pathless (adj)
uvost|without a town (adj)
uwedhen|outcast; outlaw (adj)
uwedhron|outcast; outlaw (n)
u|no; nor; not (adv)
ven|toward (n)
vi|in (prep)
ylf|*cup; drinking-vessel (n)
ylin|liquid (adj n)
ylvon|chalice (n)
yrin|made (by craft of hand) (adj)
yrith|care-free (adj)
yrlhinn|arrowless (adj)
yrlhith|dustless (adj)
Úrui|*Hot-one; August (n)
ínias|annals (n)
íphathred|age of person; yearfullness (n)
írui|desirable; lovely (adj)
í|indefinite indeclinable relative particle (pron)
î(r)|impersonal plural pronoun (pron)
îdh|peace; repose; rest; tranquility (n)
îd|jewel; thing of great worth; treasure (n)
îf|cliff; sheer descent (n)
în (n)|year (n)
în (pron)|*reflexive possessive = his own; his (pron)
îr-|to be willing; to intend to; to mean to; to will (vb)
îr|*sexual desire (n)
î|indeed (interj)
ôf|hood (n)
ôl (Spatial Relations)|stature (n)
ôn|crown of head (n)
ôs|bog (n)
ú-|bad-; impossible; negative; no; not; un (pref)
úbedui|not fit to say; unspeakable (adj)
úben|no one; nobody (n)
úgan(n)|diffident; faint-hearted; gutless (adj)
úgarol|idling; not now doing or making (adj)
úgarth|*(lit.) misdeed; trespass (n)
úgethiol|boring; (lit.) not interesting (adj)
úlam|dumb; unable to speak; (lit.) untongued (adj)
úlan(n); úland|(lit.) not broad (adj)
únodui|countless (adj)
únoth|countless; without number (adj)
úr|sun (n)
úthaes|*temptation; inducement to do wrong (n)
úthúlui|breathless (adj)
úvae|vocalic; vowel (n adj)
úvelui|not amiable; unloveable (adj)
û (adv interj)|no; nor; not (adv interj)
û (adv)|*negative (adv)
û-|to not to be; to not to do (vb)
ûl|*smell; odour; scent (n)
ûmi|large (adj)
ûn|creature (n)
ýda-|*to wink; to hint (vb)
ýneg|twelve (cardinal)
ŷl|lamb (n)
