(a)larca|rapid; swift (adj)
hyasta-; quirquisi-|to rustle (vb)
hyatsë|cleft; gash (n)
hyecca|jerk (n)
hyuxo|hiccup (n)
hyázë|*this day (n)
hyë|him (the other); other person (pron)
hyólamo|trumpeter (n)
hyóla|*trumpet; trump (n)
hácala|yawning (adj)
háva|[unleavened] bread (collective) (n)
hér; turo; túrin|lord (n)
héramat (héramatt-)|main course; (lit.) chief meal (n)
héra|*main; chief; principal (adj)
hérincë|*little lady (n)
hérosto|capital city (n)
hérë|lordship (n)
hë; intin; si; ta; toi|they (pron)
hëa|3rd sg. neut. pronoun; it (emphatic) (pron)
híma|sticky; viscous (adj)
hísilanya [þ]|grey elvish rope; mist thread (n)
hísië [þ]|mist; mistiness (n)
hísë (hísi-) [þ]|fog; haze; mist (n)
hísëa|misty (adj)
hísë|bleared; dusk; haze; mist (n adj)
hó-|away; from; from among (pref)
hócilmë|outtake; representative item; selection (n)
hócir-|to cut off (so as to have or use a required portion) (vb)
hón (hom-)|heart (physical organ); heart (physical) (n)
hópa|harbour; haven; small landlocked bay (n)
hórista|citation; quotation; (lit.) something cut out (n)
hórëa|impulsive (adj)
hórë|impulse (n)
hótul-|to come away (vb)
hó|hound (or ?heart) (n)
hô (Animals)|owl (n)
höahan (höahán-)|big brother (informal/familiar) (n)
höanet (höanés-) [þ]|big sister (informal/familiar) (n)
höassë|size (n)
höa|big; large (adj)
húmë|thousand; †great number (cardinal)
hún (hun-)|*ground; earth (n)
húna|accursed; cursed (adj)
húni|*female dog; bitch (n)
húta-|to curse (vb)
hútatyosta|whooping cough (n)
húyo|3rd sg. masc. pronoun; he (emphatic) (pron)
i (pron)|*those; that; what; which; who; whom (pron)
i-|3rd sg. fem. pronoun; she (pref)
i; in (article)|the (article)
iasintë|hyacinth (n)
icto; ixo|reflexive 3rd sg. (pron)
ier; sívë; tambë|*as (prep)
il- (Grammar)|negative prefix; un- (pref)
il- (Quantity and Number)|*all; every (pref)
ilaurëa|*daily (adj)
ilca-|to gleam (white) (vb)
ilcala|*nighttime; darkness (n)
ilcaxo|ivory; (lit.) gleam bone (n)
ilca|reflexive 3rd sg. pl. adj. (adj)
ilco|reflexive 3rd sg. pl. (pron)
ildomë|everywhere (pron)
ilduma; telumë|heaven (n)
ilimba|milky (adj)
ilin (ilim-)|milk (n)
illangiéla|nevertheless; (lit.) all-having-been-bypassed (adv)
illi; ilqua; ilu|all (n)
illië|public (n)
illumë; vorë (adv)|*always (adv)
illumë; íqua; í (conj)|when; whenever (conj)
illómëa|nightly (adj)
illöa(va)|annual; per annum (year as item); yearly (adj adv)
ilma; lindë (lindi-); vilya|air (n)
ilqua; ilu|everything (n)
ilquen|*everyone; everybody (pron)
ilquárëa|general (adj)
ilt-|to come in; to thrust home (vb)
iltana-|to demonstrate; to prove (vb)
iltanca; talta|unsteady (adj)
ilt|dig; stab (n)
iluasta|omnipresence (n)
ilucara|omnificent (adj)
iluin(do) (iluind-); ilumar (ilumas-)|dwelling beyond the stars for the blessed (n)
iluisa|omniscient (adj)
ilu|ether; the whole; universe; world (n)
ilvan(y)a|perfect (adj)
ilya|all (of a particular group of things); each; every; the whole (adj)
ilyë; quanta|all (adj)
ilúvala|omnipotent (adj)
ilúvëa; rísima; rísima [þ]|universal (adj)
ilúvë|Heaven; allness; the all; the whole; universe; world (n)
im-|same (pref)
imbacindë|harlot (n)
imbalandë|equality (n)
imba|same; self-same (pron)
imbe (adv)|in(wards) (adv)
imbe (n)|deep vale; dell; glen; ravine (n)
imbenatsë|internet (n)
imbilat|*deep valley (n)
imbë (n, Physical World)|(wide) ravine; deep valley; dell; glen; (lit.) tween-land (n)
imbë (prep adv)|among; between (prep adv)
imbë; nieres (nieress-); nierwë (n, Animals)|hive (n)
imi|in; inside (adv)
imli|*yourself (polite) (pron)
imlë|yourself (polite) (pron)
imma|same; same thing; self-same (pron)
immenwa|automobile (n)
immolaitië|self-praise (n)
immoquanta|egotistic; full of him/herself; narcissistic (adj)
immotuntië|conscience; (lit.) self-perceiving (n)
immoturië|self-control (n)
immo|same one (person); self (pron)
immë|ourselves (dual, emphatic); ourselves (exclusive) (pron)
imnetyala|hypocritical; (lit.) self-adorning (adj)
imnetyalë|(lit.) self-adornment (n)
imnetyando|hypocrite (n)
imni; imnë|myself (pron)
imyalë|sameness (n)
imya|identical; same; self-same (adj)
imíca; mici|among (prep)
inca; intya; nöa; tengwë; tenna|idea (n)
incánussë|mind mastership (n)
incánu|mind master (n)
incë|*you (dual emphatic) (pron)
indemma|mind-picture (of apparition in dream) (n)
indil|lily; other large single flower (n)
indis (indiss-)|bride (n)
indolis|domicile (n)
indosatië|resolution (n)
indo|(inner) thought; (state of) mind; mood; resolve; will (n)
indu-|to do on purpose; to will (vb)
induinen|purpose (n)
indyalmë|clamour (n)
indyarin|blazon; device; escutcheon (n)
indya|device; engine; machine (n)
indyel|small bell (n)
indyo|*granddaughter; descendant; grandchild; grandson (n)
indë|yourselves (pron)
indómë|settled character; will of Eru (n)
inga (adj)|first (adj)
inga (n)|highest point; top (n)
ingaran|high-king (n)
ingolmo|*scientist; loremaster; one with very great knowledge; wizard (n)
ingolë|deep lore; lore; magic; philosophy; science (n)
ingor|summit of a mountain (n)
ingëa|top (adj)
inimeitë|*feminine (adj)
inimë|femininity; womanliness (n)
iniva|womanly (adj)
inquë|thou-and-I (emphatic) (pron)
insa|itself (pron)
insë|herself; himself (pron)
inta-|to fare; to go (indefinite); to proceed (vb)
intu|themselves (dual) (pron)
intya-|to guess; to suppose (vb)
intyaitë|fantastic; fantasy (adj)
intyalë; isima; nausë [þ]; síma|imagination (n)
intya|guess; notion; supposition (n)
intyë|yourself (familiar) (pron)
intë|themselves; they (emphatic) (pron)
inwalmë|mood of mind (n)
inwilitsë|little fairy (n)
inwirya-|to change one’s mind; to reconsider (vb)
inwis (inwist-)|change of mind/mood (n)
inwissar (inwissarn-)|opal; (lit.) mood-change stone (n)
inwista-|to convince; to persuade (vb)
inwë|ourselves (inclusive) (pron)
inya (adj)|female (adj)
inya (pron)|*mine (pron)
inyë; nímo|I (emphatic) (pron)
ipsin; lia|fine thread (n)
iqu-|to beg; to ‘pray’ [ask earnestly] (vb)
iqui; qui; quí(ta)|if (conj)
iquindo|beggar (n)
iquirya-|to ask for; to request (vb)
iquis (iquist-)|requirement (n)
iquista|a request; if you please; please; request (n)
ir-|to shudder (vb)
irta-|to peck (vb)
irtë (irti-)|peck; pinprick (n)
irya; mermë; voinë|wish (n)
isilmë [þ]; silmë|moonlight (n)
isima; síma|mind (n)
issë (conj)|where (conj)
ista-|to know (vb)
istalima|ascertainable; knowable (adj)
istalë|information (n)
istanómë|academy; school (n)
istarë; istya; nolmë [ñ-]; nólë [ñ-]; sívë; tengwë|knowledge (n)
istima; iswa; nóla [ñ-]; saila|wise (adj)
istima|having knowledge; knowledgeable; learned; very well informed; wise (in sense knowing very much) (adj)
istyar|learned man; lore-master; scholar; wizard (n)
ita-; tintila-|to sparkle (vb)
ita; tai|that which; what (conj)
itan|in order to; so that (conj)
itara; silmë|gleaming (adj)
itas|in that case (adv)
itis [þ]|*itch; fly bite (n)
itisin; itisin [þ]|itching (adj)
itisya-; itisya- [þ]|to irritate; to itch (vb)
itis|a fly bite (n)
itsë|fly; small fly (n)
ixal|cast shadow (n)
ixa|reflexive 3rd sg. adj. (adj)
iyë; né|ago (adv)
la-|in-; not; un- (pref)
lacalima|not possible to be kindled (made to shine) (adj)
lacaraitë|*inactive (adj)
lacarina|*unfinished; incomplete; undone (adj)
lacarë|inaction; (lit.) not-doing (n)
lacenítë|blind; unseeing (adj)
lah-|to kick (vb)
lahlaraitë|deaf; (lit.) unable to hear (adj)
lahta- (Spatial Relations)|to cross; to go over; to pass over; to surpass (vb)
lahta-|to ‽ (vb)
lahtalë|passover (n)
lai; olólë|very (adv)
laica (Sense Perception)|acute; keen; sharp (adj)
laicalassë|green as leaves; green-leaf (adj)
laicelastëa|sharpsighted (adj)
laicelumir (laicelumír-)|malachite (lit.) green-flowing-jewel (n)
laicë|acuteness; keenness of perception (n)
lailinquë|beryllium; (lit.) fresh-liquid light (n)
laima; olva|plant (n)
laimamatta|vegetable food; (lit.) plant food (n)
laimamatya|herbivorous; vegetarian; (lit.) plant-eating (adj)
laimaril|emerald (n)
laiquassë; vén|greenness (n)
laiquelis (laiqueliss-)|rue (plant) (n)
laiquë; nessë|herb (n)
lairelossë|species of tree in Númenor; summer-snow-white (n)
lairemo; maitar|poet (n)
lairemírë|daisy; (lit.) meadow-jewel *(or summer-jewel) (n)
lairesta|poetry (n)
laire|poem (n)
lairus (lairust-)|verdigris (n)
lairë|summer (n)
laista|ignorance; (lit.) not-knowing (n)
laistila; laistëa|ignorant (adj)
laistima|secret; unknowable (adj)
laita-|to ?live; to bless; to praise (vb)
laitalë|praise (n)
laitelë|falsehood (n)
laitima|praiseworthy (adj)
laitita-; raica-|to falsify (vb)
laitië|honour; praising (n)
laito|new life; vigour; youth (n)
laitë|false (adj)
laivelyávë|(water)melon (n)
laivë|ointment (n)
laiwa; luina; malwa; marya; néca; níva; sindë (sindi-) [þ]|pale (adj)
lala-|to laugh (vb)
lala; lá (adv)|no; not (adv)
lalamma-; lalla-|to babble; to chatter (vb)
lalammamo|babbler (n)
lalammië|babble (n)
lalda|laugh (n)
lalevítë|lame (adj)
lalië-malina|daffodil; (lit.) yellow laughter (n)
lalië|laughing; laughter (n)
lalmë|elm-tree (n)
lalta-|to make laugh (vb)
lalta; liltië; liltë|dance (n)
laltaula|funny; (lit.) apt to make laugh (adj)
laman (lamn-)|animal; tame beast (n)
lamanwa|beastly; stupid (adj)
lamatë|a fast; fasting (n)
lamba|(physical) tongue (n)
lambelanga-|to translate (generally, between languages) (vb)
lambelanga|translation (n)
lambengolmë|linguistics (n)
lambetengwë; náva-tengwë [ñ-]; pataca; pávatengwë; ólama|consonant (n)
lambina|of tongue; spoken with tongue (adj)
lambë|dialect; language; tongue; tongue of body but also occasionally of land or even = speech (n)
lamma-|?to echo (vb)
lamnarë|*herd; flock (n)
lamya-|to sound (vb)
lamárë|flock (n)
lamélima|unlovable (adj)
lanat|*woof; weft (n)
lana|no; none; not (a); not any (adj pron)
lancanta-|to transform; to turn into (trans.) (vb)
lanca|sharp edge (not of tools); sudden end (n)
lancöa|tent; (lit.) cloth shelter (n)
landa; lanna; palantë; palar; palo (palu-) (n, Physical World)|plain (n)
landa; yonwa (n, Social Relations)|boundary (n)
langandë|stringed instrument with a neck (lute, guitar, etc.) (n)
langa|bridge; crossway; ferry; ford; thing that crosses (n)
lango (Body Parts and Functions)|neck; throat (n)
lango (Warfare and Hunting)|broad sword; prow of a ship (n)
langë|extremely; superlatively; surpassingly (adv)
lanna|(to a point) beyond; *across; athwart (adv prep)
lannë|cloth; tissue (n)
lanotoitë (lanotoiti-); únótima|innumerable (adj)
lanqu-|to get by lot or luck (vb)
lanquet-|to *discuss; to converse; to debate (vb)
lanquetta|conversation; debate; interchange of words (n)
lanquinga|crossbow (n)
lanquit-|to darn a knitted garment; (lit.) to cross/over-knit (vb)
lant-; lanta- (Motion and Transportation)|to drop (vb)
lant-; lanta-; talta-|to fall (vb)
lanta (n adj)|fall; fallen; falling (n adj)
lanta; lantë (n)|fall (n)
lantalca|boundary post or mark (n)
lantanna|banner; standard (n)
lantanwa|fallen (adj)
lantasírë|waterfall; (lit.) falling river (n)
lanwa (adj)|(well-)defined; finite; limited; within bounds (adj)
lanwa (n)|loom (n)
lanya- (Clothing and Adornment)|to weave (vb)
lanya- (Social Relations)|to bound; to enclose; to mark the limit of; to separate from (vb)
lanya-|to cross (vb)
lanya|thread; warp (n)
lan|*while (conj)
lanéya|not long ago; recently (adv)
lanë (lani-)|hem (n)
lap-; lapa-|to swathe; to wind; to wrap (vb)
laparotsë|sleeve; trouser leg; (lit.) wrap-tube (n)
lapatl|leveret (n)
lapil|flowing cloth; swathe (n)
lappa|end of rope; hem of robe; loose-end (n)
lapsa-|to lick (frequentative) (vb)
lapselunga|pregnant; (lit.) baby-heavy (adj)
lapsë|babe (n)
laptë|gluttonous eating; †licking up (food or drink) (n)
laqui|unless (conj)
larca; linta; rauca; tyelca (adj)|swift (adj)
larca|rapid (adj)
larma (Clothing and Adornment)|raiment (n)
larma (Food and Drink)|fat [as a substance] (n)
larmo|listener (spy or scout) (n)
larmëa (Food and Drink)|fatty; fleshy (adj)
larmëa|roomy; spacious (adj)
larnelta|*(lit.) league third; mile (n)
laru|fat; grease (n)
lar|fat; richness (n)
larúva|greasy (adj)
lassecanta|leaf-shaped (adj)
lasselanta|(late) autumn; Autumn; October; the Fall; (lit.) leaf-fall (n)
lassevinta|*(lit.) leaf blowing; autumn; leaf fall (n)
lassëa|leafy; with leaves (adj)
lassë|leaf; petal (n)
lasta-|to listen (vb)
lasta|listening (n)
las|it is/was not so (adv)
lat (latt-)|flap; lid; small hinged door (n)
lat-|to be extended; to be situated (of an area); to extend; to lie (of lands or regions); to spread; to stretch (vb)
latanca|insecure; unsure (adj)
latil|key (n)
latina (Social Relations)|cleared (of land); free (of movement); not encumbered with obstacles; open (adj)
latina (Spatial Relations)|cleared (of land); free; open (adj)
latsë|area; room; space (n)
latta (Clothing and Adornment)|strap (n)
latta (Spatial Relations)|hole; pit (n)
lattasta|harness; (lit.) collection of straps (n)
latter-|to darn a sewn garment; (lit.) to cross/over-sew (vb)
lattin; lattulis|window (n)
lattinsan (lattinsam-) [þ]|shutter; (lit.) window-barrier (n)
latucenda|of tin (adj)
latya-|to open anything (so as to allow entry) (vb)
latya; pantië|opening (n)
latúcen|tin; tin [metal] (n)
lau(me)|no; no indeed not; on the contrary (adv)
laucata-|to heat up; to warm (vb)
lauca|warm (adj)
laucehtelë|hot spring (n)
laulema|inhabiting (adj)
laulemo|inhabitant (n)
laulemuinë|people of the neighborhood; population (n)
laulesta-; lausta-|to gain a living; to lead a life (vb)
laulesta|livelihood (n)
laulë|*lifestyle; mode of life (n)
laumëa|dark; stormy (adj)
laupë|shirt; tunic (n)
laurinquë|yellow-flowered tree (n)
laurië|goldenness; like gold (n adv)
laurë (lauri-)|(mystic name of) gold (n)
laurëa|golden (of hue) (adj)
laurë|gold (light or colour) (n)
lausta- (Physical World)|to rush [making a rushing sound] (vb)
lausta-; rav-|to roar (vb)
lausto|*noisily (adv)
lauta-|to abound (vb)
lauya-|to flourish (green) (vb)
lav- (Social Relations)|to allow; to grant; to yield (vb)
lav-; lava-; sulp- (Body Parts and Functions)|to lick (vb)
lavaralda|tree with long green leaves with golden undersides and pale flowers with a yellow flush (n)
lavar|*(golden) blossom (n)
lavéla|different; dissimilar (adj)
la|before; than (prep)
le (prep)|by; with (accompaniment) (prep)
lecte-|to dovetail; to fit in; to join together; to splice (vb)
lehe-; norta-|to ride (vb)
lehesta|raid; ride; riding (n)
lehta-|to loose; to slacken (vb)
lehtasta|ride (n)
lehta|free; released (adj)
lelco|2nd pl. pronoun; you (emphatic) (pron)
lelelya-; lelya-|to travel (vb)
lelta-|to *(lit.) cause to go; to send (vb)
lelya (Emotion)|beautiful and fine; delicate; lovely; slender (adj)
lelya (Grammar)|*your; 2nd pl. possessive emphatic (adj)
lelya- (Emotion)|to appear (of beautiful things); to attract; to enchant (with dative) (vb)
lelya- (Motion and Transportation)|to go; to proceed (in any direction) (vb)
lelyalávë|ticket; (lit.) travel-permission (n)
lemba|left behind (adj)
lemillumë|*five times (adv)
lemincainen|fifty; twenty three (cardinal)
lemincëa|fifteen (cardinal)
lemma|artifact; relic; residue (n)
lemmë|remainders; remains; remnant(s) (n)
lempellumë|five times (adv)
lempëa; lepenya|fifth (ordinal)
lempë|five (cardinal)
lemya-|to remain; to tarry (vb)
lemya|half (adj)
lenc (lenqu-)|limb (n)
lenca|dull; slow; stiff (adj)
lenda-|to go free (vb)
lenda|*travel; journey; trip (n)
lendië|*traveling; tourism (n)
lenga-|to behave (vb)
lengalë|behavior (n)
lengesta|character (of a person); set of characteristic traits (n)
lengë|characteristic look; gesture; gesture or trait (n)
lenna-|to come; to depart; to go (vb)
lenquelénu|(daddy) long-legs (n)
lenweta-|to go away; to leave one’s abode; to migrate (vb)
lenwë|departure; leaving (n)
lenya|yours (plural) (pron)
lep-|to *pick; to take; to take [with fingers] (vb)
lepecan (lepecant-); lepentë|fourth finger (n)
lependë; lepenel|middle finger (n)
lependórë|quintillion (cardinal)
lepenquain|fifty (cardinal)
lepenquëa|fifteenth (ordinal)
lepenquë|*fifteen (cardinal)
leper; lepsë; lepta; let (lept-); tengë|finger (n)
lepesta|one fifth (fraction)
lepetas (lepetass-); tassa|index finger (n)
lepetta|Gondorian hardwood (n)
lepinca; lepincë (lepinci-); nícë|little finger (n)
leppa|thimble (n)
lepsa|liver (n)
lepsilë (lepsily-); liantë|tendril (n)
lepta (adj n)|fingered (adj n)
lepta (suf)|*fingered (suf)
lepta-|to feel with the fingertips; to finger; to pick (up/out) (vb)
leptafinya|clever-fingered (adj)
leptas|*index finger (n)
leptenta-|*to point to; to indicate with finger (vb)
leptollë|*thumb (n)
lequet (lequett-)|joint (n)
lerca-|to flee (vb)
lercië|flight (n)
lerina|free (of things) (adj)
lerta-|to be free to do (vb)
lerya-|to let go; to release; to set free (vb)
lesta (Clothing and Adornment)|*girdle (n)
lesta-|to measure (vb)
lesta; massë (Spatial Relations)|measure (n)
letinwessë|constellation (n)
leuca; lingo; lócë (lóci-)|snake (n)
lev-; tulu-|to move (intr.) (vb)
levemma|motion picture; movie (n)
levë|motion; movement (n)
li(n)-; ola-; olli-|many (pref)
lia-|to entwine (vb)
lialóra|cordless; wireless (adj)
liantassë; liantë|vine (n)
liantë; ungwë|spider (n)
lia|*wire; spider filament; twine (n)
lic-|to glide; to slide; to slip (vb)
licinda-|to blow a trumpet (vb)
licindë|blowing of horns (n)
liendina|popular (adj)
liendë; lië; nossë|people (n)
liendë|the folk (n)
lieraxa|a bus; coach; (lit.) people wagon (n)
lietarwa|park; (lit.) people-garden (n)
lietúrië|democracy (n)
lihlicca-|to sneak about (vb)
lihta-|to seal (vb)
lihtaina|sealed (adj)
lihta|seal (n)
lillassëa|having many leaves (adj)
lillumë|many times; often (adv)
lilma|patch (n)
lilta-|to dance (vb)
liltië|dancing (n)
lilíva-|to drip; to drip-drop (vb)
lilómëa|full of darkness; many-shadowed; very dark (adj)
lilótëa|having many flowers (adj)
limba|drop (n)
limbelu|*long (adv)
limil|chain (n)
limna|sheaf (n)
limpa(pa)lasse(a); limpalassëa|much roaring (adj)
limpalassë|much roaring (n)
limpa|frail; slender and drooping (adj)
limpevorma|wine-press (n)
limpunqua|drunken (adj)
limpunquië|drunkenness (n)
limpë|drink of the fairies; elfwine; fairy-drink; wine (n)
limya-|to join; to link (vb)
limë (limi-)|*joint; link (n)
lina|many (adj)
