(a)lá|yes (interj)
runando|*redeemer (n)
runda|smooth, polished; *polite (adj)
rundië|smoothness; politeness (n)
runyaril|garnet, (lit.) fiery red radiance (n)
runya|fiery red (adj)
rusca²|wroth (adj)
rusca¹|red-brown (adj)
rusco|fox (n)
ruscuitë|foxy (adj)
russambos|robin (n)
russa|red-haired (adj)
russë|head or pelt of red hair (n)
ruv-|to burst, rupture (vb)
ruxa-|to crumble (vb)
ruxa|wroth (adj)
ruxöalë|Great Bear-dance (n)
ruë|stillness, *steadiness, tranquility, ⚠️rest, remaining, steadfastness (n)
rácina|broken (adj)
rácumbar|aconitum, wolfsbane, (lit.) wolf-doom (n)
rámaitë|winged, having wings (adj)
ráma|wing; ⚠️[ᴱQ.] arm (n)
ránasta|lunar month (n)
ráquen|representative, ambassador (n)
ráta-|to excel, surpass (vb)
ráva|free, unfettered, uncontrolled, lawless (adj)
rávëa|roaring (adj)
rávë|roaring noise (n)
rá²|*for, on behalf of (prep)
rá¹|lion (n)
rénë|memory (n)
ré|day (period from sunset to sunset) (n)
rëa-|to make network or lace (vb)
rëa|single (adj)
rëo|smile (n)
ríanta-|to crown, coronate (vb)
ría|wreath, garland (n)
ríma|fillet, snood, *headband, hairnet (n)
ríma|line of seeds planted, row, series, furrow (n)
rínata-|to crown, coronate (vb)
rína|garlanded, crowned (adj)
rína|scattered, ⚠️sown (adj suf)
rísimandë|passim [Latin]; *scatteredly, here and there, at random (adv)
rísima|scattered, ubiquitous, universal (adj)
róma|[ᴹQ.] loud sound, trumpet-sound, *blare; [Q.] horn (n)
rómen|east, uprising, sunrise (n)
róme|east (n)
róna|east (adj)
ró|the[?] [?next] (adv)
röa|dog (n)
rúcare|evil-doing (n)
rúcima|terrible (adj)
rúcina|confused, shattered, disordered, ruined (adj)
rúcinon|breccia, (lit.) ruined stone (n)
rúna-|to free (vb)
rúnya|red flame (n)
rúsëa|wrathful (adj)
rúsë|wrath (n)
rúvina|burst, ruptured (adj)
sac-|to close (vb)
sac-|to hurt (vb)
sacillë|splinter (n)
sahta-|to induce (vb)
sahta-|to split (vb)
sahtaitë|oppressive, tyrannical (adj)
sahtando|tempter (n)
sahta|marred (adj)
sahtië|pressure or force (to do something against one’s will or conscience) (n)
saicelëa|famished (adj)
saicelë|famine (n)
saicë|hunger (n)
saila|wise (adj)
sailiendil|philosopher (n)
saipo|boot (n)
saiqua|hungry (adj)
sairina|magic, *magical (adj)
saita-|to teach, *train, (lit.) make wise (vb)
saitalë|education (n)
saitar|teacher (n)
saitya-|to starve (vb)
sal-|[unglossed] (vb)
salca-|to mow, scythe, mow down (n)
salca|scythe (n)
salcessë|harvest [product], *produce (n)
salcima|ready for cutting, *harvestable (adj)
salpa|broth (n)
salpë|sip, ⚠️taste (n)
salquecolca|manger, (lit.) grass-box (n)
salquecápo|grasshopper (n)
salquenor|grassland, meadow (n)
salta-|to strain, winnow (vb)
saltama|winnowing-fork (n)
salyon(do)|hero, dauntless man (n)
sam-|to have (vb)
sama-|to bar, exclude (vb)
sambesta|flat, apartment (n)
saminda|silken (adj)
samin|silk (n)
samna|delved hole, pit (n)
sampan-|to combine (vb)
sampanë|combination (n)
sampa|spade, *shovel (n)
sampo|*cellar, vault; ⚠️cave, hollow (n)
san na|*amen, (lit.) may it be so (interj)
sana-|*to think, reflect (vb)
sanar|mind, thinker, reflector (n)
sanasta|thinking, reflection, pondering (n)
sanastëa|mindful, cognizant, aware of, conscious of (adj)
sana|that very thing (already referred to) (adj)
sancon|schist, (lit.) split-rock (n)
sandanasto|turtle, (lit.) shield-being (n)
sandastan|shield-barrier (n)
sanda|shield (n)
sangarëa|oppressive, tyrannical (adj)
sangarë|oppression (n)
sanga|press, pressure; throng, [ᴹQ.] crowd, pack; [ᴱQ.] tight mass; [ᴹQ.] crowded, packed (n)
sangië|necessity, *pressing need or concern (n)
sanomë|there (adv)
santa-|to decide (vb)
santa|garden, field, yard; apportioned/designated space (n)
santenta-|to concentrate, focus (vb)
santië|decision (n)
sanwecenda|thought-inspection, thought-reading (n)
sanwelunga|serious, (lit.) thought-heavy (adj)
sanwelungië|seriousness (n)
sanwementa|thought-sending, mental message (n)
sanwë-latya|thought-opening (n)
sanwë|thought, an act of thinking (n)
sanyelórie|lawlessness (n)
sanyengolmo|lawyer (n)
sanyesta|law [as a scholarly discipline] (n)
san|*then, so, thus (conj adv)
san|bar, barrier (n)
sap-|to dig (vb)
sappa|hollow, dug-out, excavated (adj)
sapsarrima|boring, tedious (adj)
sapta-|to convince, (lit.) make believe (vb)
sapta|(delved) hole, pit; [ᴱQ.] grave (n)
sar-²|to mark (i.e. by incision), notch, score; (by later extension) †to write [on] (vb)
sar-¹|to cross (vb)
sara-|to saw [wood] (vb)
saramor|*writing-ink (n)
sarassë|hassock, footstool (n)
sarat|letter (of the Rúmilian alphabet) (n)
sardanar|corundum, (lit.) hard sun (n)
sarda|hard (*as stone) (adj)
sarma|saw (n)
sarmë|writing (n)
sarnincë|pebble (n)
sarnië|shingle, pebble bank (n)
sarnomo|banker (n)
sarnunta|diadem (n)
sarta|steadfast, trusty, loyal (adj)
sarto|trusty follower, loyal companion (n)
sartë|note, jot, scribbling, (lit.) a little writing (n)
sarya-|to stone (vb)
sar|stone (small) (n)
sasta-|to put, place (vb)
sat-|to set aside, appropriate to a special purpose or owner (vb)
satarya-|to trust, rely on (a person) (vb)
satar|trusty follower, loyal companion (n)
satta|part (of something) (n)
satyasambë|privy, lavatory (n)
satya|private, separate, not common, excluded (adj)
sau-|very badly (pref)
saucarya|evil-doing (adj)
saucarë|doing or making a thing very badly (n)
saulengaitë|ill-mannered (adj)
sauluppo|cancer (disease)  (n)
saura|stinking, foul, [ᴹQ.] evil-smelling, putrid; [Q.] cruel, evil, vile; ⚠️[Q.] bad, unhealthy, ill, wretched (adj)
sauroryat|skunk, (lit.) stink-badger (n)
sav-|to believe (vb)
savielóra|unbelieving, belief-less (adj)
savindo|believer (n)
sa²|them (inanimate) (pron)
sa¹|it (inanimate); that (pron conj)
sel-|to intend, mean, plan (vb)
seldë|daughter; [ᴹQ.] child [f.], *girl (n)
selma|fixed idea, will (n)
seltil|daughter [finger name] (n)
selya-|to intend, mean, purpose, resolve (vb)
selyë|daughter (diminutive) (n)
sen-|to let loose, free, let go (vb)
sendarë|sabbath, day of rest (n)
sendassë|inn, guest-house (n)
senda|bracket, (lit.) that what cramps, confines (n)
sennacénëa|short-sighted (adj)
senna|short (adj)
senta-|to shorten (vb)
sentimeter|centimeter (n)
senwa|moment, instant (n)
senyavë|usually (adv)
senya²|*my child (n)
senya¹|usual, *common, typical (adj)
ser-|*to sew (vb)
serca-|to bleed (vb)
sercilixa|blood-thirsty (adj)
serciril|ruby, (lit.) blood-glitter (n)
sercë|blood (n)
serindë|broideress, needlewoman, *seamstress (n)
serma|string, ⚠️cord (n)
seruinon|sedimentary rock, (lit.) settled-rock (n)
sesta-|to set, (lit.) to make rest (on) (vb)
se²|at, in (prep)
se¹|he, she, it (animate) (pron)
siar(ë)|*today, this day (n)
sil-|to shine (white) (vb)
silima|crystal substance devised by Fëanor (n)
sillë|like this (adv)
silma|crystal (white); [ᴹQ.] silver, shining white (n adj)
silmë nuquerna|s-reversed (n)
silmë|starlight; [ᴹQ.] silver [light], ⚠️moonlight, light of Silpion (n)
silomë|tonight (n adv)
silo|hence (adv)
silta-|to sift, sort out, winnow (vb)
silta|sieve (n)
siltina|winnowed (adj)
silumë|now, at this time, *present (adv)
silussë|present tense, (lit.) here-and-now-tense (n)
silúmëa|current, contemporary, modern (adj)
simen|hither (adv)
simpa|pipe, flute, flageolet (n)
simpetar|piper, *fluter (n)
simpisë|piping, whistling (n)
sinanwa|present, in a particular place, existing or occurring now (adj)
sinanwië|presence (n)
sinapio|mustard (n)
sinar|today, [ᴹQ.] this morning (n)
sina|this (adj)
sincahonda|flint-hearted (adj)
sinca|flint; *flinty (n adj)
sincë|mineral [as in any solid inorganic substance], ⚠️gem, metal (n)
sinda|grey (adj)
sindië|greyness (n)
sindë|grey, pale or silvery grey, [ᴹQ.] pale (adj)
sinen|by this means, so (adv)
singwa|salt, *salty (adj)
singë|salt (n)
sinilë|topaz (n)
sinomë|here, (lit.) in this place (adv)
sintacénëa|short-sighted (adj)
sintamo|smith (n)
sintë|esteem; estimate, computation (n)
sinwa|known, certain, ascertained (adj)
sinyarna|novel (n)
sinyar|news (n)
sinyemat|dinner, evening meal (n)
sin|tin (metal) (n)
sin¹|*thus (adv)
sio|hence (adv)
sip-|to pipe (vb)
siqu-|to sigh (vb)
siquilissë|weeping willow; ⚠️lamentation (n)
siquilë|sighing, ⚠️lament (n)
sir(a)|hither (adv)
sirpë|stalk, slender tube, ⚠️stem (n)
sirya-|to flow [smoothly] (vb)
sirëa|flowing, liquid (adj)
sis-|to scorch, singe, fry (vb)
sisin|parched, scorched (adj)
sissë|here (adv)
sistina|ulcerated, sore (adj)
sistë|ulcer, sore, boil (n)
sisíla-|to shine (frequentative) (vb)
sitina|habitual, customary, accustomed, usual, ordinary, common (adj)
sito|custom, habit (n)
sitta-|I am used to, I do habitually (vb)
situ-|to be accustomed [to] (vb)
sitwa|pan, fryer (n)
si²|here (adv)
si¹|this (adj pron)
sië|thus (adv)
sohta-|to give to drink, drench (vb)
soica|thirsty (adj)
soicië|thirst (n)
solma²|[main or entry] hall, chamber (n)
solma¹|?helmet, ?top (n)
solos|?helmet, ?top (n)
solta-|to wave, heave, surge (up and down) (vb)
songa|mouth (interior cavity behind the teeth containing the tongue) (n)
sononel|pine-needle (n)
sono|pine (n)
sor-|to provide, equip, furnish (vb)
sorastarwa|furnished, equipped (adj)
sorna|steadfast (adj)
sornion|eyrie (n)
sorno|eagle (n)
soroncë|kite, (lit.) little eagle (n)
soron|eagle (n)
sortöa|aloe, (lit.) eaglewood (n)
sorya-|to dread, feel fear (vb)
sossëa|fearful, afraid (adj)
sossë|fear (n)
sosta-|to put to fright, terrify (vb)
sov-|to wash, *bathe (vb)
sovalda-|to cleanse, purify (vb)
sovallë|washing, bathing, purification (n)
sovalwa|cleansing, *purifying (adj)
sovamorco|raccoon, (lit.) wash-bear (n)
sucul|sticky matter, slime, ⚠️gum (n)
suhta-|to drain (vb)
suhtina|resinous (adj)
suhtë|resin, gum (n)
suila-|to greet (vb)
suilanta-|to give greeting (vb)
suilië|greeting (n)
suiva|soughing, moaning [of wind] (adj)
sulpa|soup (n)
sumba-|to submerge, *baptize (vb)
sumbando|baptizer (n)
sumbanwa|sink (for washing) (n)
sundoharmar|capital [funds], (lit.) base treasures (n)
sundon|bedrock, (lit.) base-rock (n)
sundo|base, root, [ᴹQ.] root-word (n)
sundóma|determinant vowel, root-vowel, [ᴹQ.] vocalic determinant (n)
sur-|*to seek (vb)
surië|*(an act of) seeking (n)
surya-|to blow (intr.) (vb)
surya-|to hiss (vb)
sussë|puff (of air) (n)
susta-|to blow (tr.) (vb)
susta-|to stink (vb)
suv-|to sink (esp. in water) (vb)
sála|gall, bile (n)
sámalórië|madness (n)
sáma|mind (n)
sáme|salvation, saving, help (n)
sámo|bar, barrier (n)
sámo|helper (n)
sányelóra|lawless (adj)
sánë|pine (n)
sáquet-|I will, to agree (to do); (lit.) to say ‘yes’ (vb)
sáquetië|agreement (n)
sáralë|bitterness (n)
sára|[ᴹQ.] bitter (adj)
sár|(incised) mark, notch, tally; (generalized) score (of game or contest) (n)
sávula|credulous, gullible (adj)
sávë|stench, stink, reek, foul odor (n)
sá|very good, all right, I will, I agree of course, of course I do (interj adv)
sén|child (n)
sérenca|uneasy, unpeaceful (adj)
sérinqua|peaceful, full of peace (adj)
sérë|*peace (n)
sérë|peace, [ᴹQ.] rest, repose (n)
séya-|to seem (vb)
síma|imagination, mind (n)
sír(ë)|river, ⚠️[ᴱQ.] stream (n)
síra|*today, this day (n)
sír|now (adv)
sís|here (adv)
sítë|of this sort (adj)
sívë²|peace (n)
sívë³|knowing, knowledge (n)
sívë¹|*as (prep)
sí|now (adv)
sóla|tide (n)
sól|?helmet, ?top (n)
sónanwa|water basin (n)
sónë|pine tree (n)
sótë|refuge (n)
söa|filth (n)
súcë|resinous tree, pine or fir (n)
súlendil|kite, (lit.) friend of the wind (n)
súlë|breath; (movement of) spirit, emission of power (of will or desire) (n)
súma|hollow cavity, bosom (n)
súna-|to be spiritually affected, inspired (vb)
súnalë|inspiration (n)
súnë|bath, small pool (n)
súriellë|windflower, anemone (n)
súriquessë|species of grass, (lit.) wind feather (n)
súrë|wind, breeze (n)
súsa|bath water, hot water (n)
súta-|to blow (tr.) (vb)
súyel|niece (n)
súyon|nephew, ⚠️daughter’s son (n)
sú|sound of wind, [ᴱQ.] noise of wind (n)
tailë|lengthening, [ᴹQ.] extension (n)
taima|extension (n)
taina²|extension (n)
taina¹|stretched, elongated; [ᴹQ.] lengthened, extended, prolonged (adj)
taira|slow (adj)
taitë|of that sort (adj)
tai²|that which, what (conj)
tai³|then (adv)
tai¹|them (inanimate) (pron)
tal(da)|to the bottom (adv)
talaitë|footed (adj)
talan|flat space, platform; [ᴹQ.] floor, ⚠️ground (n)
talca|post, mark (n)
taldëa|bottom (adj)
tallimë|ankle, (lit.) foot-link (n)
tallë|like that (adv)
talma-|to found (vb)
talmacasta|upside down (adj)
talmata-|to base (on), found (vb)
talma²|flat space, platform (n)
talma¹|basis, [ᴹQ.] foundation, base, ⚠️root; [ᴱQ.] end (n)
talmondo|foundation stone (n)
talo|thence (adv)
talta-|to slip, slide down, collapse, fall, [ᴹQ.] slip down, slope (vb)
talta|tottering, unsteady, [ᴱQ.] shaky, wobbling; [ᴹQ.] sloping, tilted, leaning, inclined, [ᴱQ.] slanting (adj)
taltil|toe, *(lit.) foot-tip (n)
taltol|big toe (n)
talumë|at that time (adv)
talya|stalwart, steady, firm (adj)
taman|thing made by handicraft (n)
tama|that matter (pron)
tambina|of bronze, ⚠️[ᴱQ.] of copper (adj)
tambin|cauldron (n)
tambë|*as, so (prep)
tambë|bronze, ⚠️copper (n)
tamen|thither (adv)
tamin|forge (n)
tamma|tool (n)
tamna|artificial; artifact (adj n)
tamo|smith, builder, wright, artificer (n)
tampo|well (n)
tamuril|yew (n)
tan-|to make, fashion (vb)
tana-|to show, indicate (vb)
tanar|indicator, [linguistics] demonstrative (n)
tanastë|presentation (n)
tana|that (adj pron)
tancal(a)|brooch, ⚠️clasp, [ᴹQ.] fastener, pin (n)
tancarya-|*to become firm (vb)
tancata-|to make firm, fix, confirm (vb)
tancavë|certainly (adv)
tanca|fastening, rivet (n)
tanen|in that way (adv)
taniquelassë|*high-white-leaf (n)
tanna²|thither (adv)
tanna¹|sign, token (n)
tanomë|there, (lit.) in the place (referred to) (adv)
tant(il)a|harp (n)
tanta-|to bounce, bound, rebound (vb)
tanta-|to play a harp (vb)
tantal|shuttle (n)
tantara|bouncing, resilient (adj)
tanwa|sign, token (n)
tapta|impeded (adj)
tar(a)|thither; ⚠️[ᴹQ.] beyond (adv)
tar-²|to stand (vb)
tar-¹|high; [ᴹQ.] king or queen (in compounds) (affix)
taranna|shire, county (n)
tararan|emperor, (lit.) high-king (n)
tarassë|labour (n)
tarasta-|to harass, trouble (vb)
tarastië|trouble (n)
taras|great towering building (fort/city/castle), tower; ⚠️[ᴹQ.] mount, hill (n)
tarhanwa|throne, (lit.) high seat (n)
tarma|pillar (n)
tarmenya|vertical (adj)
tarmen|vertical direction (n)
tarminas|great towering building (fort/city/castle), tower (n)
tarmon|basalt, (lit.) pillar-rock (n)
tarmë|state, status, condition (n)
tarolwen|sceptre, (lit.) royal branch (n)
tarqua-|to dry, preserve; to pickle (vb)
tarquin(a)|salt meat; salted, dried, *(orig.) preserved (n adj)
tarwandur|gardener (n)
tarwa|garden, enclosure (n)
tarwesta-|to crucify (vb)
tarwë|cross, crucifix (n)
taryalanca|stiff-necked, obstinate (adj)
taryalangova|stiff-necked, obstinate (adj)
taryalangwa|obstinate, stiff-necked (adj)
taryassë|stiffness, toughness, difficulty (n)
tar|honorific, sir, madam (n)
tasar(ë)|willow (n)
tassa|(a) trouble, troublesome event/thing/circumstance (n)
tassa|index finger (n)
tassë|there (adv)
tastil|*index finger (n)
tastë|fringe (n)
tata|*daddy (n)
tatya|second (ordinal)
tauca|stiff, wooden (adj)
taucolca|(wooden) chest (n)
taura|(very) mighty, masterful; vast, of unmeasured might or size (adj)
tauron|forester (n)
taurëa|forested (adj)
taurë|forest, (great) wood (n)
tautamo|carpenter, [wood] carver (n)
tav-|*to endure (vb)
tavas|woodland (n)
ta²|them (inanimate) (pron)
ta³|so, like that, also; and also, then; etcetera (adv conj)
ta¹|that, there, ⚠️[ᴹQ.] it (pron)
teccelma|scroll, parchment, (lit.) writing-skin (n)
tecemma|drawn image, drawing, painting (n)
tecil|pen (n)
tecindo|writer (n)
tehtalë|art of writing, script; writings, documents, papers, scriptures (n)
tehta|(written) mark, sign, symbol, [ᴹQ.] diacritic, [Q.]  †written letter (n)
tel-|to end, finish (intr.) (vb)
telcohan|trousers, pants, (lit.) leg-clothing (n)
telconta-|to stride, *(lit.) to leg it (vb)
telco|leg; stem (n)
teldavë|finally (adv)
telda|last, final (adj)
telepta|silver, *silver-coloured (adj)
telima|final (adj)
telluma|dome, cupola, vault (n)
telma|conclusion, anything used to finish off a work or affair; [ᴹQ.] ending (n)
telmëa|conclusive, ⚠️final, end, last; extreme (adj)
telperin|like silver (in hue or worth) (adj)
telpetan|silversmith (n)
telpevistando|money-changer (n)
telpilin|silver piece, *silver coin (n)
telpina|like silver (in hue or worth), [ᴹQ.] of silver (adj)
telpingwë|silverfish (n)
telpë|silver; [ᴱQ.] money (n)
telumbë|mushroom (n)
telumë|roof, canopy, [ᴹQ.] vault, dome (of heaven); [Q.] heaven, sky, [ᴱQ.] firmament (n)
telusta|outer, extreme, ultimate (adj)
telustë|extremity (n)
telu|last; ⚠️end (fate), close (adj)
telwa|late, ⚠️last (adj)
telwina|later (adj)
telya-|to finish, wind up, conclude (trans.) (vb)
telyanta-|to allure, *attract (vb)
telyantalya|alluring, attractive (adj)
telyantassë|allurement, attraction (n)
tel|end (n)
ten-|to arrive, come to (vb)
tenca|letter (epistola) (n)
tengessë|address, (lit.) indication-name (n)
tengwa-|to read written matter (vb)
tengwacilmë|spelling (n)
tengwalóra|unlettered (adj)
tengwassë|alphabet (n)
tengwa|(written) letter; sign, token, indicator; ⚠️[ᴹQ.] writing, grammar (n)
tengwelanga-|to transcribe (vb)
tengwelanga|transcription (n)
tengwelë|language (general term); ⚠️[ᴱQ.] sense (n)
tengwesta|grammar, morphology, system or code of signs, collection of matter concerning writing, *language structure (n)
tengwestië|language [as a concept] (n)
tengwië|reading; language (*signing) (n)
tengwo|writer (n)
tengwë|sign, token, indication; writing; ⚠️[ᴱQ.] knowledge, understanding; idea, notion, thought (n)
tenna²|letter (epistola) (n)
tenna³|thought, notion, idea (n)
tenna¹|until, up to, as far as, to the point, to reach (prep)
tennoio|forever[more] (adv)
tensi|already, still, up to now/here; yet [from present] (adv)
tenta-|to point (to/out), indicate; to direct toward, be directed toward; to go forth towards (with object) (vb)
tentaparma|recipe book, instruction book (n)
tenta|still, yet [past], *up until then (adv)
tenya-|to arrive, end (not at speaker’s[?] place) (vb)
ter-|to pierce (vb)
tercara|thorough, elaborate, comprehensive (adj)
tercenya|of insight, *perceptive (adj)
tercen|insight, *(lit.) through-sight (n)
tercol-|to endure, carry through (vb)
tercáno|herald (n)
tercénima|transparent (adj)
terendel|lathe (n)
teret|auger, borer, gimlet (n)
terfantië|*temptation (n)
termar-|to stand, *endure, last, (lit.) through-abide (vb)
terpellië|*temptation (n)
tervanta-|to traverse (vb)
ter|through (prep)
tesar|brick, tile (n)
tev-|to hate, dislike (vb)
tevinqua|hateful (adj)
tevin|hated (adj)
tevië|hatred, dislike (n)
te|them (pron)
thar-|[unglossed] (vb)
ticuta-|to smelt, (orig.) make melt (vb)
tier|*so (prep)
tihta-|to blink, peer (vb)
tildë|fine sharp point, [ᴹQ.] spike; (mountain) horn, [ᴱQ.] tip, ️peak (n)
tillë|tip, point; [within compounds] finger, toe; [ᴱQ.] eyelash (n)
tilma|point (n)
timbarë|forehead (n)
tin-|to spark, glitter, [ᴹQ.] glint, [ᴱQ.] gleam, shine as a star (vb)
tincoina|metallic (adj)
tincotéma|t-series (n)
tinco|metal (n)
tindómë|(starry) twilight, time near dawn, [ᴹQ.] starlit dusk (n)
tinga-|to go (for a long while) (vb)
tinta-|to kindle, cause to spark, [ᴹQ.] make to spark (vb)
tintila-|to twinkle, sparkle, glitter, give tremulous light, †tremble (vb)
tintilië|sparkling, twinkling (n)
tinwerúmë|starling, (lit.) abundance of stars (n)
tinwë|spark, [apparent] star (n)
tinwírë|diamond, (lit.) sparkling gem (n)
tiqu-|to melt, thaw (vb)
tiquilindëa|thawing, slushy (adj)
tiquilin|thaw, melting snow, slush (n)
tiquilë|melting, thawing, thaw (n)
tir-|to watch (over), guard, heed; to look (at), gaze, observe; ⚠️[ᴱQ.] to keep, preserve (vb)
tirila|watching (something) (adj)
tirion|watch-tower, tower, [ᴱQ.] (great or mighty) tower; ⚠️city on a hill (n)
tirista|*watch, guard (n)
tiris|watch, vigil, ward (n)
tirma|spyglass (n)
tirmen|theater (n)
tirmo|watcher (n)
tirmë|steadfast regard, stare, *gaze (n)
tirítë|watchful, vigilant (adj)
titinwë|small star, sparkle of dew, *small sparkling thing (n)
tittë|breast [of a woman], ⚠️teat (n)
tiucata-|to fatten, to feed up (vb)
tiuma|grape (n)
tiura|compact (adj)
tiuta-|to corroborate, confirm; to comfort, console, *(orig.) to make firm; ⚠️to strengthen (vb)
tiutaila|comforting, consoling, easing (adj)
tiutalë|confirmation; comfort, consolation, easement; ⚠️strengthening, reinforcement (n)
tixipi|ladybug, (lit.) insect of [many] dots (n)
tië|path, road, way, line, [ᴹQ.] course, direction, [ᴱQ.] route (n)
to(lo)sta|one eighth (fraction)
toc-|to appraise, tax, assess, assay; ⚠️to try, test, essay, endeavour; to feel with the hand, handle (vb)
tocot|cock, *rooster (n)
toina|wood, *wooden, made of wood (adj)
tolbo|big toe; stump, stub; ⚠️thumb (n)
toldo|eight (cardinal)
toldëa|eighth (ordinal)
tolipincë|little doll (n)
toli|doll, puppet (n)
tollesta|archipelago (n)
tolloquen|islander (n)
tollo|sticker-up (n)
tollë²|thumb (n)
tollë¹|island, (steep) isle (n)
tolma|knob, (short rounded) handle, protuberance contrived to serve a purpose (n)
tolmen|boss (of shield), isolated round hill (n)
toloquain|eighty (cardinal)
toloquëan|eighty (cardinal)
tolpo|bowl (n)
tolpë|thumb (n)
tolquain|eighty (cardinal)
tolquë|eighteen (cardinal)
tolsat|one eighth (fraction)
toltil|thumb (n)
tolto|eight (cardinal)
toltëa|eighth (ordinal)
toluparma|scroll, (lit.) roll-book (n)
tolya|prominent (adj)
tolyo|sticker-up (n)
tol|island, (steep) isle (n)
tomba|[unglossed] (n)
tombo|gong (n)
tompa-|to bang, *drum (vb)
tompa|(small) drum (n)
tompo-tompo|noise of drums (or guns) (n)
tompë|*pulse, beat (n)
tomya-|to resonate (of shorter sounds) (vb)
tontilla|cymbal, *tambourine (n)
tornanga|iron hard; hard-iron, *steel (adj n)
torna|hard (adj)
torya-|to strengthen (vb)
totonna-|to type (on computer/phone) (vb)
to|on, above; [ᴹQ.] in (prep)
tucië|drawing, pulling (n)
tuilérë|*spring-day (n)
tuilë|spring, [ᴹQ.] spring-time, ⚠️[ᴱQ.] (lit.) a budding; buds, new shoots, fresh green (n)
tuista|twig, shoot, ⚠️sprout, spray (n)
tul-|to come, ⚠️[ᴱQ.] move (intr.); to bring, carry, fetch; to produce, bear fruit (vb)
tulca-|to set up, establish, *found; ⚠️to fix, stick in,  (vb)
tulcarpa-|to rebuke (vb)
tulcarpië|rebuke (n)
tulla|rudder (n)
tullu-|to occur, happen (i.e. come in time) (vb)
tulta-|to send (from point of view of receiver), [ᴹQ.] to send for, send hither, fetch, summon, (lit.) cause to come (vb)
tultaima|*fetchable, summonable (adj)
tuluhta-|to support, prop (up), uphold (vb)
tulumaitië|probably (adv)
tulussë|future tense, (lit.) coming tense (n)
tulusta|advent, arrival (n)
tulya-|*to lead; [ᴱQ.] to bring, ⚠️send (vb)
tulyaitë|able to bring (adj)
tulyando|leader (n)
tulyandë|fetching (n)
tulya|coming, approaching, future (adj)
tumba-|to cast down; *to dive (vb)
tumbalë|depth, deep valley (n)
tumba|[ᴹQ.] deep, lowlying; ⚠️[Q.] deep valley (adj)
tumbo|deep vale, valley, [ᴱQ.] dale (n)
tumpo|shed, barn (n)
tumya-|to dip, ⚠️baptize (vb)
tumyando|baptizer (n)
tundo|firewood, fuel (n)
tungwemen|tax-office (n)
tungwemo|tax-collector (n)
tungwë|tax (n)
tunta-|to notice, perceive, ⚠️see (vb)
tuntaitë|bright, witty, smart; *perceptive (adj)
tunto|notice, regard, perception; quickness of perception, wit (n)
tuorva|peach, (lit.) wool-apple (n)
tup-|to cover, [ᴱQ.] put a lid on, put hat on, ⚠️roof (vb)
tupattal|horse-boot (n)
tupina|covered (adj)
tupin|roofed, having a lid, having hat on (adj)
tur-|to master, conquer, dominate, win; [ᴹQ.] to control, govern, *rule; ⚠️to wield; [ᴱQ.] can, to be able (vb)
turca|strong, powerful (in body) (adj)
turco²|*stronghold (n)
turco¹|chief (n)
turindo|purposeful mind, strong will (n)
turindura|done necessarily (adj)
turmen|realm (n)
turmë|governing power, strength (n)
turu-|to defeat, have victory over, master (vb)
turutyalmë|contest, competition (n)
turwa|powerful [in a general sense] (adj)
turya-|[ᴹQ.] to strengthen (vb)
turyandë|fortification, [ᴹQ.] strengthening (n)
turëa|influential (n)
turúna|mastered (adj)
tusturin|match (n)
tusturë|tinder, chips, ⚠️firewood (n)
tutulla-|to keep on coming (and going) (vb)
tuv-|to find, discover (vb)
tuxainen|thousand (cardinal)
tuxainenëa|thousandth (ordinal)
tuxantur|centurion (n)
tuxasta|one hundredth, *one percent (fraction)
tuxa|hundred; ⚠️gross, 144 (cardinal)
tu|them (dual) (pron)
tuë|fleece (n)
tyal-|to play (vb)
tyalindo|player (n)
tyalië|mirth, [ᴹQ.] play, game, sport (n)
tyallas|(playing) card (n)
tyalma|toy, plaything (n)
tyalmë|game (n)
tyapta-|to prove (vb)
tyar-|to cause (vb)
tyaraitë|effective, productive, effectual, efficacious (adj)
tyarda|result, *effect (n)
tyarwë|reason (n)
tyas-|to test, try [out], pick, choose (vb)
tyasta-|to (put to the) test, *verify (vb)
tyastaima|testable (adj)
tyausta|savour, flavour (n)
tyav-|to taste; [ᴱQ.] (impersonal) to taste of, reminds one of (vb)
tyavasta|sense of taste (n)
tyelca|hasty; [ᴹQ.] agile, swift (adj)
tyellesta|ladder (n)
tyellë|grade, step (in a stairway or ladder), ⚠️order (n)
tyelpetéma|palatal series (n)
tyelpë|silver (n)
tyenya|yours (familiar) (n)
tyer-|to worship (vb)
tyerindo|worshiper (n)
tyestima|testable (adj)
tyet-|to suckle, nurse (vb)
tyetsë|teat, *nipple (n)
tye|you (familiar), thee (pron)
tyocolat|chocolate (n)
tyosta-|to cough (vb)
tyos|cough (n)
tyuc-|to chew (vb)
tyul-|to stand (vb)
tyulma|mast (n)
tyulta-|to rear up, stick up (vb)
tyulya-|to rise (vb)
tyur-|to curdle (blood, milk, etc.), *congeal (vb)
tyurda|curdled (adj)
tyurmë|cheese (n)
tyustyuhta-|to chew the cud; to reflect, reminisce (vb)
tyuxë|cud (n)
tyávelassë|spice, (lit.) taste-leaf (n)
tyávë|*taste (n)
tyéta-|to address somebody informally using tye (vb)
tál|foot; [ᴹQ.] bottom, [ᴱQ.] lowest part (n)
táranar|noon, (lit.) high-sun (n)
tára²|wise (adj)
